document_id,relation_id,chemical_annotation_id,disease_annotation_id,relation,Chemical,Disease
6888657,R0,,,CID,D004054,D010911
7265370,R0,,,CID,D014223,D053040
7423039,R0,,,CID,D004317,D066126
7444978,R0,,,CID,D013307,D004409
7444978,R1,,,CID,D013307,D003638
7834920,R0,,,CID,D012293,D005921
7834920,R1,,,CID,D012293,D051437
7881871,R0,,,CID,D011692,D007674
7881871,R1,,,CID,D011692,D011507
7930386,R0,,,CID,D002997,D012893
7988234,R0,,,CID,D008790,D000799
7988234,R1,,,CID,D017706,D000799
8073369,R0,,,CID,D009538,D001176
8073369,R1,,,CID,C007112,D001176
8073369,R2,,,CID,D009538,D002543
8302922,R0,,,CID,D014294,D007022
8302922,R1,,,CID,D000527,D007022
8410052,R0,,,CID,D010862,D013226
8410052,R1,,,CID,D010862,D002544
8410052,R2,,,CID,D010862,D001480
8423889,R0,,,CID,D005473,D009069
8682684,R0,,,CID,D000082,D007022
9625142,R0,,,CID,D002443,D000744
9625142,R1,,,CID,D002443,D056486
9766615,R0,,,CID,D003024,D000380
10193204,R0,,,CID,D004837,D013927
10526274,R0,,,CID,C056507,D013921
10526274,R1,,,CID,C030852,D013921
10526274,R2,,,CID,C056507,D020258
10526274,R3,,,CID,C030852,D009503
10526274,R4,,,CID,C056507,D009503
10526274,R5,,,CID,C030852,D020258
10669626,R0,,,CID,D014859,D061205
11379838,R0,,,CID,D000928,D001714
11379838,R1,,,CID,D017367,D001714
11419773,R0,,,CID,D002110,D014693
11581460,R0,,,CID,D005283,D012131
11581460,R1,,,CID,D005283,D007022
11581460,R2,,,CID,D005283,D001745
11581460,R3,,,CID,D005283,D001919
11581460,R4,,,CID,D005283,D016055
11706060,R0,,,CID,D019469,D009202
11706060,R1,,,CID,D019259,D009202
11706060,R2,,,CID,D015215,D009202
11752354,R0,,,CID,D003276,D009203
12369736,R0,,,CID,D003042,D009069
12369736,R1,,,CID,C065046,D009069
12639165,R0,,,CID,D013988,D007565
12639165,R1,,,CID,D013988,D002779
12639165,R2,,,CID,D013988,D056486
12653683,R0,,,CID,D011692,D011507
12653683,R1,,,CID,D011692,D009404
14659530,R0,,,CID,D005996,D020326
14659530,R1,,,CID,D009569,D020326
15804801,R0,,,CID,D017239,D003323
16160878,R0,,,CID,D001058,D010409
16274958,R0,,,CID,D017255,D055154
16330766,R0,,,CID,D002211,D006930
16574712,R0,,,CID,D018817,D003072
17111419,R0,,,CID,C102006,D006996
17175308,R0,,,CID,D020123,D011507
17244258,R0,,,CID,D003520,D003556
18020536,R0,,,CID,D001569,D005221
18020536,R1,,,CID,D001569,D003866
18020536,R2,,,CID,D001569,D007319
18020536,R3,,,CID,D001569,D004244
18023325,R0,,,CID,D004221,D010292
18023325,R1,,,CID,D004221,D011782
18023325,R2,,,CID,D004221,D010146
18023325,R3,,,CID,D004221,D010523
18023325,R4,,,CID,D004221,D001259
18023325,R5,,,CID,D004221,D014826
18208574,R0,,,CID,D006493,D013927
18208574,R1,,,CID,D006493,D013921
18343374,R0,,,CID,D002996,D012170
18343374,R1,,,CID,D002996,D014786
18417364,R0,,,CID,D009538,D009759
18442015,R0,,,CID,D004872,D006471
18442015,R1,,,CID,D004872,D050197
18442015,R2,,,CID,D002784,D006471
18442015,R3,,,CID,D002784,D014456
18442015,R4,,,CID,D002784,D050197
18442015,R5,,,CID,D004872,D014456
18619688,R0,,,CID,D004317,D006333
19308880,R0,,,CID,D014635,D003221
19631624,R0,,,CID,D018817,D008569
19631624,R1,,,CID,D018817,D007859
20003049,R0,,,CID,C031942,D016063
20003049,R1,,,CID,C031942,D019106
20196116,R0,,,CID,D000995,D017114
20470218,R0,,,CID,D008727,D002493
20722491,R0,,,CID,C110904,D060831
20722491,R1,,,CID,C110904,D013280
20722491,R2,,,CID,C110904,D014839
20722491,R3,,,CID,C110904,D003967
20722491,R4,,,CID,C110904,D009325
20882060,R0,,,CID,D006220,D002375
26094,R0,,,CID,D008750,D003866
322550,R0,,,CID,D009599,D007022
869641,R0,,,CID,D009638,D001919
1749407,R0,,,CID,D003042,D009203
1786266,R0,,,CID,D007099,D001480
1835291,R0,,,CID,D013806,D002318
1835291,R1,,,CID,D013806,D005767
1919871,R0,,,CID,D000082,D007681
1919871,R1,,,CID,D001241,D007681
1987816,R0,,,CID,D008094,D011141
2054792,R0,,,CID,D004317,D006331
2304736,R0,,,CID,D011224,D014550
2312209,R0,,,CID,D007548,D009203
2549018,R0,,,CID,D005473,D017109
2611118,R0,,,CID,D004008,D056486
2673163,R0,,,CID,D003042,D002543
2673163,R1,,,CID,D003042,D013345
2673163,R2,,,CID,D003042,D002544
3107448,R0,,,CID,D005905,D056486
3341566,R0,,,CID,D009599,D007022
3564823,R0,,,CID,D013874,D013035
3676049,R0,,,CID,D007530,D007022
3719553,R0,,,CID,D005472,D000799
4008111,R0,,,CID,D000638,D012848
6133211,R0,,,CID,D012460,D003025
6133211,R1,,,CID,D012460,D001017
6133211,R2,,,CID,D012460,D006345
6133211,R3,,,CID,D012460,D007690
6503301,R0,,,CID,D003606,D006504
6727060,R0,,,CID,D008787,D004409
7083920,R0,,,CID,D000638,D006327
7269015,R0,,,CID,D002066,D003556
7269015,R1,,,CID,D002066,D006470
7352670,R0,,,CID,D009599,D007022
7352670,R1,,,CID,D006221,D007022
7504976,R0,,,CID,D002231,D056486
7504976,R1,,,CID,D002231,D002779
7628595,R0,,,CID,D015215,D001855
7858459,R0,,,CID,D002955,D003221
7858459,R1,,,CID,D005472,D003128
7858459,R2,,,CID,D005472,D003221
7858459,R3,,,CID,D002955,D003128
7862923,R0,,,CID,D006220,D001480
7862923,R1,,,CID,D002746,D001480
7862923,R2,,,CID,D003024,D001480
7862923,R3,,,CID,C036006,D001480
7919560,R0,,,CID,D000667,D004892
7919560,R1,,,CID,D000667,D004342
7919560,R2,,,CID,D000667,D009205
8092427,R0,,,CID,D000658,D000707
8092427,R1,,,CID,D000658,D004342
8092427,R2,,,CID,D000658,D000799
8638206,R0,,,CID,D001279,D010243
8638206,R1,,,CID,D014673,D010243
8669433,R0,,,CID,D010615,D007676
8690168,R0,,,CID,D013311,D003928
8739323,R0,,,CID,D003520,D006470
8739323,R1,,,CID,D003520,D003556
8752018,R0,,,CID,D008094,D003072
9390208,R0,,,CID,C085788,D006331
9390208,R1,,,CID,C085788,D007970
9406968,R0,,,CID,D018021,D011141
9587734,R0,,,CID,D013390,D004342
9587734,R1,,,CID,D013390,D006323
9587734,R2,,,CID,D013390,D006947
9587734,R3,,,CID,D013390,D001919
9698967,R0,,,CID,D004837,D001281
9698967,R1,,,CID,D008619,D001281
9698967,R2,,,CID,D008619,D006973
9698967,R3,,,CID,D004837,D006973
9855119,R0,,,CID,D016559,D005923
9869257,R0,,,CID,C098725,D000647
9869257,R1,,,CID,D012601,D000647
10342929,R0,,,CID,D000806,D000799
10457883,R0,,,CID,D001279,D012131
10457883,R1,,,CID,D001279,D001919
10457883,R2,,,CID,D001279,D001049
10739826,R0,,,CID,D003276,D054556
10791295,R0,,,CID,D001058,D010554
11147747,R0,,,CID,D016651,D014549
11147747,R1,,,CID,D020280,D014549
11147747,R2,,,CID,D018490,D014549
11147747,R3,,,CID,D017374,D014549
11147747,R4,,,CID,C047426,D014549
11198499,R0,,,CID,C023754,D007022
11198499,R1,,,CID,D017706,D007022
11391224,R0,,,CID,D003042,D058186
11426838,R0,,,CID,D003042,D012640
11569530,R0,,,CID,D016593,D016171
11569530,R1,,,CID,D020117,D016171
11569530,R2,,,CID,C010637,D016171
11587867,R0,,,CID,D014750,D020258
11587867,R1,,,CID,D014750,D009410
11587867,R2,,,CID,D014750,D003711
11679859,R0,,,CID,D011346,D017109
12041669,R0,,,CID,D010396,D000741
12198388,R0,,,CID,D009388,D012640
12198388,R1,,,CID,D009538,D012640
12198388,R2,,,CID,D002217,D012640
12574103,R0,,,CID,D003907,D007674
12574103,R1,,,CID,D003907,D006973
12615818,R0,,,CID,D017373,D054556
12615818,R1,,,CID,D004997,D054556
12789195,R0,,,CID,D008914,D000172
12820454,R0,,,CID,D016729,D000740
12820454,R1,,,CID,D005485,D000740
14657095,R0,,,CID,D000666,D006333
14657095,R1,,,CID,D000666,D002311
14765563,R0,,,CID,D011803,D003221
14765563,R1,,,CID,D011803,D003128
14765563,R2,,,CID,D011803,D012640
15036754,R0,,,CID,D007531,D012640
15145918,R0,,,CID,C032302,D007022
15145918,R1,,,CID,D008750,D007022
15233872,R0,,,CID,D007545,D009203
15458908,R0,,,CID,D020849,D054556
15737522,R0,,,CID,D002443,D001660
16005948,R0,,,CID,D003042,D012640
16167916,R0,,,CID,D020849,D054556
16403073,R0,,,CID,D007654,D016171
16403073,R1,,,CID,D007654,D008133
16755009,R0,,,CID,D003975,D000647
16755009,R1,,,CID,D012601,D000647
16904497,R0,,,CID,C030262,D011128
16904497,R1,,,CID,D002045,D011128
16938416,R0,,,CID,D013739,D050197
17147461,R0,,,CID,D020123,D007674
17147461,R1,,,CID,D020123,D011507
17241784,R0,,,CID,D019821,D009336
17241784,R1,,,CID,D019821,D009135
17261653,R0,,,CID,D003000,D001919
17343925,R0,,,CID,D012906,D034381
17400887,R0,,,CID,D013726,D001321
17612891,R0,,,CID,D003024,D009205
17612891,R1,,,CID,D000928,D009205
18081909,R0,,,CID,C026098,D008569
18081909,R1,,,CID,D014635,D008569
18081909,R2,,,CID,D014635,D001927
18081909,R3,,,CID,C026098,D001927
18081909,R4,,,CID,C026098,D004830
18081909,R5,,,CID,D014635,D004830
18083142,R0,,,CID,D003042,D001008
18182964,R0,,,CID,D003000,D001919
18217897,R0,,,CID,D013792,D013923
18996674,R0,,,CID,D003042,D011317
19058010,R0,,,CID,D007545,D009203
19581773,R0,,,CID,D012254,D009157
19581773,R1,,,CID,C417083,D001763
19581773,R2,,,CID,D012254,D001763
19581773,R3,,,CID,C417083,D015835
19581773,R4,,,CID,C417083,D009157
19581773,R5,,,CID,D012254,D015835
19759529,R0,,,CID,C094645,D002375
19759529,R1,,,CID,D006220,D002375
19759529,R2,,,CID,C076029,D002375
19759529,R3,,,CID,D016291,D006948
19759529,R4,,,CID,D000661,D006948
19759529,R5,,,CID,D003024,D002375
19957053,R0,,,CID,D005283,D007022
19957053,R1,,,CID,D005283,D002303
19957053,R2,,,CID,D015742,D007022
19957053,R3,,,CID,D015742,D002303
19957053,R4,,,CID,D010656,D002534
20619828,R0,,,CID,D002997,D008569
20619828,R1,,,CID,D002997,D001008
20619828,R2,,,CID,D002997,D060845
891050,R0,,,CID,D003276,D006463
983936,R0,,,CID,D004837,D009202
1428568,R0,,,CID,D013999,D003866
1720453,R0,,,CID,D007069,D005198
1720453,R1,,,CID,D007069,D007674
1833784,R0,,,CID,D009538,D006948
1867351,R0,,,CID,D015767,D012893
1867351,R1,,,CID,D015767,D011605
1867351,R2,,,CID,D015767,D001008
1867351,R3,,,CID,D015767,D012640
2070391,R0,,,CID,D008012,D010146
2266990,R0,,,CID,D008454,D012817
2266990,R1,,,CID,D008454,D014987
2266990,R2,,,CID,D008454,D001068
2348231,R0,,,CID,D004176,D006940
2348231,R1,,,CID,D010431,D007383
2355241,R0,,,CID,D007980,D007022
2445283,R0,,,CID,D012254,D000740
2950248,R0,,,CID,D004176,D000787
3015567,R0,,,CID,D009599,D007022
3031535,R0,,,CID,D006220,D002375
3031535,R1,,,CID,D013759,D002375
3125768,R0,,,CID,D015760,D009127
3187073,R0,,,CID,D002945,D002318
3187073,R1,,,CID,D005472,D014693
3187073,R2,,,CID,D005472,D002637
3187073,R3,,,CID,D005472,D001281
3187073,R4,,,CID,D002945,D001281
3187073,R5,,,CID,D005472,D002318
3187073,R6,,,CID,D002945,D014693
3187073,R7,,,CID,D002945,D002637
3371379,R0,,,CID,D014700,D020258
3371379,R1,,,CID,D002220,D020258
3503576,R0,,,CID,D003676,D006316
3503576,R1,,,CID,D003676,D014786
3560095,R0,,,CID,D005480,D006261
3560095,R1,,,CID,D005480,D006471
3560095,R2,,,CID,D005480,D015746
3714122,R0,,,CID,C005238,D013118
3828020,R0,,,CID,D010665,D001523
3828020,R1,,,CID,D010665,D012640
3828020,R2,,,CID,D010665,D002544
3828020,R3,,,CID,D010665,D002543
4812392,R0,,,CID,D001379,D005355
4812392,R1,,,CID,D001379,D002779
6518066,R0,,,CID,D008094,D004437
6534871,R0,,,CID,D007545,D009203
6538499,R0,,,CID,D004317,D009202
6747681,R0,,,CID,D002330,D031300
6861444,R0,,,CID,D009638,D006973
7053303,R0,,,CID,D002927,D003704
7088431,R0,,,CID,D004054,D014625
7088431,R1,,,CID,D004054,D018262
7248170,R0,,,CID,D010634,D008103
7248170,R1,,,CID,D002251,D008103
7248170,R2,,,CID,D010634,D006529
7453952,R0,,,CID,D008094,D003919
7802851,R0,,,CID,D000525,D001259
7802851,R1,,,CID,D000525,D008569
7802851,R2,,,CID,D000525,D004775
7802851,R3,,,CID,D000525,D003866
7802851,R4,,,CID,D000525,D015431
8319760,R0,,,CID,D011692,D006937
8319760,R1,,,CID,D011692,D011507
8319760,R2,,,CID,D011692,D009404
8319760,R3,,,CID,D011692,D034141
8386779,R0,,,CID,D010646,D004414
8386779,R1,,,CID,D000527,D004414
8421099,R0,,,CID,D015282,D041881
8421099,R1,,,CID,D015282,D042882
8649546,R0,,,CID,D007980,D004409
8919272,R0,,,CID,D014635,D001927
9199746,R0,,,CID,D000583,D007511
9199746,R1,,,CID,D000583,D012164
9249847,R0,,,CID,D014700,D013611
9284778,R0,,,CID,C072959,D008107
9284778,R1,,,CID,C067411,D008107
9522143,R0,,,CID,D011318,D034381
9522143,R1,,,CID,D002045,D034381
9522152,R0,,,CID,D002045,D012678
9672936,R0,,,CID,D008614,D012640
9721172,R0,,,CID,D007052,D013262
9721172,R1,,,CID,D007052,D002779
9727773,R0,,,CID,D005277,D006976
9727773,R1,,,CID,D001067,D006976
9754849,R0,,,CID,D008691,D002819
9754849,R1,,,CID,D003042,D006948
9754849,R2,,,CID,D003042,D002819
10365197,R0,,,CID,D003042,D019964
10704919,R0,,,CID,D013629,D006461
10704919,R1,,,CID,D013629,D000743
10706004,R0,,,CID,D009569,D006973
10721819,R0,,,CID,D007545,D001919
10721819,R1,,,CID,D004294,D001919
10721819,R2,,,CID,D001971,D007022
10721819,R3,,,CID,D007545,D006332
10721819,R4,,,CID,D001971,D013610
10737864,R0,,,CID,D003000,D001919
10743446,R0,,,CID,D002211,D006930
10743446,R1,,,CID,D002211,D010146
11007689,R0,,,CID,D016572,D057049
11007689,R1,,,CID,D016559,D057049
11256525,R0,,,CID,D019808,D001002
11334364,R0,,,CID,D000638,D009336
11334364,R1,,,CID,D004317,D009336
11334364,R2,,,CID,D000082,D009336
11334364,R3,,,CID,D000082,D007674
11334364,R4,,,CID,D000638,D008171
11334364,R5,,,CID,D004317,D066126
11642480,R0,,,CID,D015283,D004409
12063090,R0,,,CID,D009020,D003248
12084448,R0,,,CID,D007069,D009207
12084448,R1,,,CID,D007069,D001927
12684739,R0,,,CID,D020888,D005128
12716030,R0,,,CID,D006493,D006406
12757899,R0,,,CID,D008094,D013226
12757899,R1,,,CID,D008094,D001930
12757899,R2,,,CID,D010862,D013226
12757899,R3,,,CID,D010862,D001930
12905102,R0,,,CID,D003024,D003693
14513889,R0,,,CID,D007654,D004401
14513889,R1,,,CID,D007654,D018908
14513889,R2,,,CID,D007654,D014202
14513889,R3,,,CID,D007654,D010243
15009014,R0,,,CID,D002211,D002561
15009014,R1,,,CID,D002211,D006940
15120741,R0,,,CID,D010862,D013226
15120741,R1,,,CID,D010862,D012640
15275829,R0,,,CID,D009538,D012640
15602202,R0,,,CID,D017963,D009395
16181582,R0,,,CID,D014635,D001927
16298782,R0,,,CID,D005839,D034381
16428221,R0,,,CID,D008774,D020293
16858720,R0,,,CID,D014859,D002543
17466854,R0,,,CID,D005839,D006261
17466854,R1,,,CID,D008775,D020250
17466854,R2,,,CID,D008775,D006261
17466854,R3,,,CID,D005839,D020250
17562951,R0,,,CID,C044834,D007674
17562951,R1,,,CID,D003287,D007674
17562951,R2,,,CID,D007479,D007674
17600377,R0,,,CID,D012601,D003072
17639754,R0,,,CID,D014859,D006470
17639754,R1,,,CID,D064704,D006470
17854040,R0,,,CID,D006514,D006509
18221780,R0,,,CID,D002211,D006930
18261172,R0,,,CID,D020123,D011507
18329269,R0,,,CID,D006220,D002375
18410508,R0,,,CID,D008694,D009422
18410508,R1,,,CID,D015632,D009422
18503483,R0,,,CID,D016559,D020968
18560792,R0,,,CID,D010479,D001022
18560792,R1,,,CID,D010479,D008944
18726058,R0,,,CID,D010208,D000160
18726058,R1,,,CID,D010208,D006319
18754075,R0,,,CID,D019386,D058186
18754075,R1,,,CID,D019386,D011507
18768591,R0,,,CID,D004317,D001201
18768591,R1,,,CID,D004317,D006949
18768591,R2,,,CID,D004317,D011507
18768591,R3,,,CID,D004317,D009404
18768591,R4,,,CID,D004317,D034141
19299179,R0,,,CID,D015662,D002780
19356053,R0,,,CID,D020123,D011507
19729346,R0,,,CID,D010098,D008569
19729346,R1,,,CID,D010098,D003072
20080983,R0,,,CID,D003042,D012893
20520283,R0,,,CID,D006220,D001480
20520283,R1,,,CID,C522667,D001480
20588063,R0,,,CID,D011692,D011507
20588063,R1,,,CID,D011692,D009401
19820426,R0,,,CID,C558899,D002311
19820426,R1,,,CID,C558899,D006327
19820426,R2,,,CID,C558899,D001919
1616457,R0,,,CID,D010424,D000647
567256,R0,,,CID,D004054,D008113
567256,R1,,,CID,D004054,D006394
17439425,R0,,,CID,D003907,D015431
17439425,R1,,,CID,D003907,D006973
9351491,R0,,,CID,D018967,D010302
9351491,R1,,,CID,D006220,D010302
18752389,R0,,,CID,C492458,D056486
18752389,R1,,,CID,C492458,D017114
20098969,R0,,,CID,D008694,D003731
9653867,R0,,,CID,D013974,D013971
17608141,R0,,,CID,D008694,D005334
2559236,R0,,,CID,D004317,D000419
2559236,R1,,,CID,D004317,D009401
21029050,R0,,,CID,D013390,D001049
10901305,R0,,,CID,D007649,D009325
10901305,R1,,,CID,D007649,D014839
10901305,R2,,,CID,D007649,D001259
19037603,R0,,,CID,D006514,D006509
20084309,R0,,,CID,D008874,D000860
8231633,R0,,,CID,D002045,D012640
10091617,R0,,,CID,D012642,D007024
19269743,R0,,,CID,D002211,D010146
3070035,R0,,,CID,D002216,D058186
1147734,R0,,,CID,D011441,D006521
12202650,R0,,,CID,D002211,D010146
18951540,R0,,,CID,D007980,D004409
19657887,R0,,,CID,D000431,D007022
19657887,R1,,,CID,D000431,D005483
19657887,R2,,,CID,D003484,D007022
19657887,R3,,,CID,D000431,D004417
19657887,R4,,,CID,D003484,D013610
19657887,R5,,,CID,D003484,D004417
19657887,R6,,,CID,D000431,D013610
19657887,R7,,,CID,D003484,D005483
9660111,R0,,,CID,D003913,D006948
9660111,R1,,,CID,D012110,D007035
9660111,R2,,,CID,D014299,D006948
9660111,R3,,,CID,D019257,D006948
11431197,R0,,,CID,D011899,D009395
7449470,R0,,,CID,D004317,D009202
8170551,R0,,,CID,D000086,D007669
2476560,R0,,,CID,D001556,D000741
2476560,R1,,,CID,D001556,D002493
19803309,R0,,,CID,D013390,D014313
18821488,R0,,,CID,C068820,D007674
18821488,R1,,,CID,C068820,D056486
18821488,R2,,,CID,C068820,D006456
18821488,R3,,,CID,C068820,D009212
8372922,R0,,,CID,D005665,D034381
8372922,R1,,,CID,D007612,D034381
9195768,R0,,,CID,D018170,D010292
15338796,R0,,,CID,D000420,D014202
12627929,R0,,,CID,D013792,D054556
12627929,R1,,,CID,C067311,D054556
6634932,R0,,,CID,D010042,D017180
18791946,R0,,,CID,D002939,D011693
18791946,R1,,,CID,D002939,D007565
18791946,R2,,,CID,D002939,D013921
18791946,R3,,,CID,D002939,D000743
18791946,R4,,,CID,D002939,D015746
17344566,R0,,,CID,D019821,D003161
9293063,R0,,,CID,D003613,D001650
9293063,R1,,,CID,D003613,D006222
1728522,R0,,,CID,D019980,D056486
1728522,R1,,,CID,D019980,D006099
1728522,R2,,,CID,D019980,D002779
10807237,R0,,,CID,D003042,D017542
12536034,R0,,,CID,D020888,D004832
12536034,R1,,,CID,D002220,D004832
7234705,R0,,,CID,D011342,D017180
8955532,R0,,,CID,D010656,D006973
2578334,R0,,,CID,D015073,D011230
2578334,R1,,,CID,D001564,D011230
2578334,R2,,,CID,D002251,D011230
2578334,R3,,,CID,D001374,D011230
2578334,R4,,,CID,D019813,D011230
2578334,R5,,,CID,D008770,D011230
11532387,R0,,,CID,D018967,D001480
11532387,R1,,,CID,D018967,D013375
3173179,R0,,,CID,D014700,D009203
3856631,R0,,,CID,D008727,D010291
3856631,R1,,,CID,D008727,D009503
3856631,R2,,,CID,D008727,D012640
3856631,R3,,,CID,D008727,D052016
2522601,R0,,,CID,D002220,D051437
2522601,R1,,,CID,D002220,D003873
2522601,R2,,,CID,D002220,D007955
2522601,R3,,,CID,D002220,D004342
2522601,R4,,,CID,D002220,D007010
8741744,R0,,,CID,D009538,D006948
17491223,R0,,,CID,D004280,D017202
18004067,R0,,,CID,D000082,D056486
18004067,R1,,,CID,D000082,D017093
12443032,R0,,,CID,D003042,D002637
17615423,R0,,,CID,D000638,D058186
17615423,R1,,,CID,C413408,D058186
17615423,R2,,,CID,D019821,D012206
17615423,R3,,,CID,D019821,D058186
17615423,R4,,,CID,D000638,D012206
17615423,R5,,,CID,C413408,D012206
8558192,R0,,,CID,C030852,D000380
8558192,R1,,,CID,C030852,D010523
11135224,R0,,,CID,D002945,D009503
11135224,R1,,,CID,D017239,D013921
11135224,R2,,,CID,C056507,D009503
11135224,R3,,,CID,D017239,D009503
11135224,R4,,,CID,C056507,D013921
11135224,R5,,,CID,D002945,D013921
8590259,R0,,,CID,C016986,D015814
8590259,R1,,,CID,C016986,D015878
8590259,R2,,,CID,C016986,D004774
8590259,R3,,,CID,C016986,D003316
8590259,R4,,,CID,C016986,D003229
2096243,R0,,,CID,C017367,D056784
2096243,R1,,,CID,C017367,D019965
6209318,R0,,,CID,D008801,D014202
6209318,R1,,,CID,D008801,D012817
3615541,R0,,,CID,D000661,D006948
8953972,R0,,,CID,D004837,D013345
8953972,R1,,,CID,D004837,D006323
3782049,R0,,,CID,D008972,D012206
3782049,R1,,,CID,D008972,D058186
9100294,R0,,,CID,D014700,D018376
9100294,R1,,,CID,D009543,D018376
9100294,R2,,,CID,D020748,D018376
19889778,R0,,,CID,D006514,D006509
19889778,R1,,,CID,D006513,D006509
15278670,R0,,,CID,D008012,D012640
17042910,R0,,,CID,D003907,D006973
11897407,R0,,,CID,D007545,D009203
9812111,R0,,,CID,D006220,D001480
15572383,R0,,,CID,D004317,D011507
7420681,R0,,,CID,D005839,D051437
7420681,R1,,,CID,D014031,D051437
12907309,R0,,,CID,D008694,D005334
16680561,R0,,,CID,D003891,D009325
16680561,R1,,,CID,C476217,D006261
16680561,R2,,,CID,D003891,D006261
16680561,R3,,,CID,C476217,D009325
17532790,R0,,,CID,D007980,D004409
7582165,R0,,,CID,D010248,D014581
7582165,R1,,,CID,D003907,D003231
7582165,R2,,,CID,D003907,D014581
7582165,R3,,,CID,D010248,D003231
16787750,R0,,,CID,D014635,D001855
16787750,R1,,,CID,D014635,D010195
16787750,R2,,,CID,D014635,D001927
16787750,R3,,,CID,D014635,D056486
16787750,R4,,,CID,D014635,D003244
3173180,R0,,,CID,D008795,D006463
8996652,R0,,,CID,D000617,D006319
8996652,R1,,,CID,D005665,D006319
84204,R0,,,CID,D002927,D003221
9862868,R0,,,CID,D004997,D002780
15515654,R0,,,CID,D003676,D006319
2024540,R0,,,CID,D000806,D007022
2024540,R1,,,CID,D011224,D007022
12090760,R0,,,CID,D015215,D000740
7516729,R0,,,CID,D014700,D001919
2802551,R0,,,CID,D000666,D007674
19346865,R0,,,CID,D008795,D001927
2334618,R0,,,CID,D009020,D020182
2334618,R1,,,CID,D009020,D020181
2334618,R2,,,CID,D009020,D018879
8864707,R0,,,CID,D010672,D062787
12589964,R0,,,CID,D004317,D009202
11263551,R0,,,CID,D016559,D010146
11263551,R1,,,CID,D016559,D004487
11263551,R2,,,CID,D016559,D001855
11263551,R3,,,CID,D016572,D001855
11263551,R4,,,CID,D016572,D004487
11263551,R5,,,CID,D016572,D010146
10520387,R0,,,CID,D015742,D007022
10520387,R1,,,CID,D015742,D013610
10520387,R2,,,CID,D004809,D013610
230316,R0,,,CID,D007464,D001927
230316,R1,,,CID,D007464,D014786
230316,R2,,,CID,D007464,D010523
230316,R3,,,CID,D007464,D009896
230316,R4,,,CID,D007464,D013118
11807648,R0,,,CID,D014148,D012640
14596845,R0,,,CID,D013395,D006948
