document_id,passage_id,annotation_id,entity_text,start_offset,length,type,MESH,CompositeRole
1378968,1,24,hypertension,1500,12,Disease,D006973,
1378968,1,25,chronic renal failure,1531,21,Disease,D007676,
1420741,0,0,Crohn's disease,13,15,Disease,D003424,
1420741,0,1,fusidic acid,34,12,Chemical,D005672,
1420741,0,2,cyclosporin,107,11,Chemical,D016572,
1420741,1,3,cyclosporin,217,11,Chemical,D016572,
1420741,1,4,Crohn's disease,292,15,Disease,D003424,
1420741,1,5,fusidic acid,391,12,Chemical,D005672,
1420741,1,6,Crohn's disease,467,15,Disease,D003424,
1420741,1,7,Fusidic acid,507,12,Chemical,D005672,
1420741,1,8,fusidic acid,743,12,Chemical,D005672,
1420741,1,9,nausea,910,6,Disease,D009325,
1420741,1,10,fusidic acid,1205,12,Chemical,D005672,
1420741,1,11,Crohn's disease,1263,15,Disease,D003424,
1420741,1,12,fusidic acid,1402,12,Chemical,D005672,
1420741,1,13,inflammatory bowel disease,1440,26,Disease,D015212,
1601297,0,0,myocardial injury,33,17,Disease,D009202,
1601297,0,1,cocaine,83,7,Chemical,D003042,
1601297,1,2,cocaine,135,7,Chemical,D003042,
1601297,1,3,schizophrenic,194,13,Disease,D012559,
1601297,1,4,cocaine,232,7,Chemical,D003042,
1601297,1,5,myocardial injury,305,17,Disease,D009202,
1601297,1,6,myocardial infarction,334,21,Disease,D009203,
1601297,1,7,ischemia,357,8,Disease,D007511,
1601297,1,8,bundle branch block,371,19,Disease,D002037,
1967484,0,0,Sulpiride,0,9,Chemical,D013469,
1967484,0,1,tardive dystonia,18,16,Disease,D004421,
1967484,1,2,Sulpiride,36,9,Chemical,D013469,
1967484,1,3,antidepressant,107,14,Chemical,D000928,
1967484,1,4,sulpiride,204,9,Chemical,D013469,
1967484,1,5,tardive dyskinesia,222,18,Disease,D004409,
1967484,1,6,parkinsonism,245,12,Disease,D010302,
1967484,1,7,dystonia,355,8,Disease,D004421,
1967484,1,8,sulpiride,395,9,Chemical,D013469,
1967484,1,9,sulpiride,456,9,Chemical,D013469,
1967484,1,10,tardive dystonia,474,16,Disease,D004421,
2234245,0,0,Ocular and auditory toxicity,0,28,Disease,D014786|D006311,CompositeMention
2234245,0,1,Ocular toxicity,0,6,Disease,D014786,IndividualMention
2234245,0,1,Ocular toxicity,20,8,Disease,D014786,IndividualMention
2234245,0,2,auditory toxicity,11,17,Disease,D006311,IndividualMention
2234245,0,3,desferrioxamine,64,15,Chemical,D003676,
2234245,1,4,desferrioxamine,151,15,Chemical,D003676,
2234245,1,5,audiovisual toxicity,250,20,Disease,D014786|D006311,
2234245,1,6,visual or auditory toxicity,314,27,Disease,D014786|D006311,CompositeMention
2234245,1,7,visual toxicity,314,6,Disease,D014786,IndividualMention
2234245,1,7,visual toxicity,333,8,Disease,D014786,IndividualMention
2234245,1,8,auditory toxicity,324,17,Disease,D006311,IndividualMention
2234245,1,9,Visual toxicity,457,15,Disease,D014786,
2234245,1,10,dyschromatopsy,534,14,Disease,-1,
2234245,1,11,a loss of visual acuity,576,23,Disease,D014786,
2234245,1,12,pigmentary retinal deposits,604,27,Disease,D012164,
2234245,1,13,Auditory toxicity,633,17,Disease,D006311,
2234245,1,14,neurosensorial hearing loss,697,27,Disease,D006319,
2234245,1,15,Desferrioxamine,766,15,Chemical,D003676,
2234245,1,16,hearing loss,911,12,Disease,D034381,
2234245,1,17,toxicity,970,8,Disease,D064420,
2234245,1,18,desferrioxamine,1030,15,Chemical,D003676,
2234245,1,19,aluminium,1097,9,Chemical,-1,
2234245,1,20,audiovisual toxicity,1144,20,Disease,D014786|D006311,
2234245,1,21,desferrioxamine,1234,15,Chemical,D003676,
2385256,0,0,Myasthenia gravis,0,17,Disease,D009157,
2385256,0,1,magnesium,47,9,Chemical,D008274,
2385256,1,2,neuromuscular disease,119,21,Disease,D009468,
2385256,1,3,quadriplegic,162,12,Disease,D011782,
2385256,1,4,magnesium,192,9,Chemical,D008274,
2385256,1,5,preeclampsia,221,12,Disease,D011225,
2385256,1,6,magnesium,245,9,Chemical,D008274,
2385256,1,7,magnesium,321,9,Chemical,D008274,
2385256,1,8,postsynaptic neuromuscular blockade,525,35,Disease,D009468,
2385256,1,9,acetylcholine,691,13,Chemical,D000109,
2385256,1,10,paralysis,761,9,Disease,D010243,
2385256,1,11,magnesium,777,9,Chemical,D008274,
2385256,1,12,myasthenia gravis,844,17,Disease,D009157,
2385256,1,13,magnesium,1024,9,Chemical,D008274,
2385256,1,14,disorder of neuromuscular transmission,1078,38,Disease,D020511,
2505783,0,0,Chloroacetaldehyde,0,18,Chemical,C004656,
2505783,0,1,cyclophosphamide,77,16,Chemical,D003520,
2505783,0,2,ifosfamide,97,10,Chemical,D007069,
2505783,1,3,chloroacetaldehyde,192,18,Chemical,C004656,
2505783,1,4,CAA,212,3,Chemical,C004656,
2505783,1,5,CAA,349,3,Chemical,C004656,
2505783,1,6,hemorrhagic cystitis,375,20,Disease,D006470|D003556,CompositeMention
2505783,1,7,hemorrhagic,375,11,Disease,D006470,IndividualMention
2505783,1,8,cystitis,387,8,Disease,D003556,IndividualMention
2505783,1,9,CAA,423,3,Chemical,C004656,
2505783,1,10,bladder damage,476,14,Disease,D001745,
2505783,1,11,CAA,534,3,Chemical,C004656,
2505783,1,12,mesna,614,5,Chemical,D015080,
2515254,0,0,pain,10,4,Disease,D010146,
2515254,0,1,migraine,44,8,Disease,D008881,
2515254,1,2,migraine,87,8,Disease,D008881,
2515254,1,3,nitroglycerin,156,13,Chemical,D005996,
2515254,1,4,migraine,255,8,Disease,D008881,
2515254,1,5,nitroglycerin,288,13,Chemical,D005996,
2515254,1,6,migraine,386,8,Disease,D008881,
2515254,1,7,nitroglycerin,461,13,Chemical,D005996,
2515254,1,8,migraine,557,8,Disease,D008881,
2515254,1,9,migraine,589,8,Disease,D008881,
2515254,1,10,nitroglycerin,617,13,Chemical,D005996,
2515254,1,11,pain,693,4,Disease,D010146,
2515254,1,12,migraine,790,8,Disease,D008881,
2515254,1,13,migraine,851,8,Disease,D008881,
2572625,0,0,Clotiazepam,0,11,Chemical,C084599,
2572625,0,1,hepatitis,26,9,Disease,D056486,
2572625,1,2,hepatitis,89,9,Disease,D056486,
2572625,1,3,extensive hepatocellular necrosis,104,33,Disease,D047508,
2572625,1,4,clotiazepam,185,11,Chemical,C084599,
2572625,1,5,thienodiazepine,200,15,Chemical,C013295,
2572625,1,6,Clotiazepam,228,11,Chemical,C084599,
2572625,1,7,benzodiazepines,314,15,Chemical,D001569,
2572625,1,8,clotiazepam,353,11,Chemical,C084599,
2572625,1,9,hepatitis,432,9,Disease,D056486,
2572625,1,10,clotiazepam,471,11,Chemical,C084599,
2572625,1,11,hepatitis,500,9,Disease,D056486,
2572625,1,12,hepatotoxicity,546,14,Disease,D056486,
2572625,1,13,clotiazepam,569,11,Chemical,C084599,
2572625,1,14,benzodiazepines,593,15,Chemical,D001569,
2632720,0,0,hypertension,9,12,Disease,D006973,
2632720,0,1,ketoconazole,53,12,Chemical,D007654,
2632720,1,2,Cushing's syndrome,101,18,Disease,D003480,
2632720,1,3,ketoconazole,154,12,Chemical,D007654,
2632720,1,4,hypertension,187,12,Disease,D006973,
2632720,1,5,cortisol,246,8,Chemical,D006854,
2632720,1,6,ketoconazole,290,12,Chemical,D007654,
2632720,1,7,hypertension,366,12,Disease,D006973,
2632720,1,8,deoxycorticosterone,467,19,Chemical,D003900,
2632720,1,9,11-deoxycortisol,491,16,Chemical,D003350,
2632720,1,10,deoxycorticosterone,572,19,Chemical,D003900,
2632720,1,11,11-deoxycortisol,596,16,Chemical,D003350,
2632720,1,12,aldosterone,628,11,Chemical,D000450,
2632720,1,13,ketoconazole,770,12,Chemical,D007654,
2632720,1,14,hypertension,847,12,Disease,D006973,
2670794,0,0,angiotensin,27,11,Chemical,D000809,
2670794,0,1,Captopril,58,9,Chemical,D002216,
2670794,0,2,pulmonary and renal insufficiency,72,33,Disease,D011665|D051437,CompositeMention
2670794,0,3,pulmonary insufficiency,72,9,Disease,D011665,IndividualMention
2670794,0,3,pulmonary insufficiency,92,13,Disease,D011665,IndividualMention
2670794,0,4,renal insufficiency,86,19,Disease,D051437,IndividualMention
2670794,0,5,intravascular coagulation,113,25,Disease,D004211,
2670794,1,6,intravascular coagulation,164,25,Disease,D004211,
2670794,1,7,tranexamic acid,250,15,Chemical,D014148,
2670794,1,8,AMCA,267,4,Chemical,D014148,
2670794,1,9,pulmonary and renal insufficiency,298,33,Disease,D011665|D051437,CompositeMention
2670794,1,10,pulmonary insufficiency,298,9,Disease,D011665,IndividualMention
2670794,1,10,pulmonary insufficiency,318,13,Disease,D011665,IndividualMention
2670794,1,11,renal insufficiency,312,19,Disease,D051437,IndividualMention
2670794,1,12,trauma,364,6,Disease,D014947,
2670794,1,13,sepsis,374,6,Disease,D018805,
2670794,1,14,Captopril,402,9,Chemical,D002216,
2670794,1,15,angiotensin,439,11,Chemical,D000809,
2670794,1,16,pulmonary and renal insufficiency,489,33,Disease,D011665|D051437,CompositeMention
2670794,1,17,pulmonary insufficiency,489,9,Disease,D011665,IndividualMention
2670794,1,17,pulmonary insufficiency,509,13,Disease,D011665,IndividualMention
2670794,1,18,renal insufficiency,503,19,Disease,D051437,IndividualMention
2670794,1,19,Captopril,705,9,Chemical,D002216,
2670794,1,20,Renal damage,763,12,Disease,D007674,
2670794,1,21,urea,813,4,Chemical,D014508,
2670794,1,22,Captopril,856,9,Chemical,D002216,
2670794,1,23,AMCA,975,4,Chemical,D014148,
2670794,1,24,Captopril,1023,9,Chemical,D002216,
2670794,1,25,Angiotension II,1138,15,Chemical,D000804,
2670794,1,26,prostacyclin,1173,12,Chemical,D011464,
2670794,1,27,bradykinin,1215,10,Chemical,D001920,
2670794,1,28,Captopril,1228,9,Chemical,D002216,
2670794,1,29,kidney damage,1504,13,Disease,D007674,
2696505,0,0,labetalol,27,9,Chemical,D007741,
2696505,0,1,nitroprusside,41,13,Chemical,D009599,
2696505,0,2,hypotension,67,11,Disease,D007022,
2696505,1,3,labetalol,103,9,Chemical,D007741,
2696505,1,4,hypotension,121,11,Disease,D007022,
2696505,1,5,nitroprusside,137,13,Chemical,D009599,
2696505,1,6,hypotension,159,11,Disease,D007022,
2696505,1,7,reductions in mean arterial blood pressure,350,42,Disease,D007022,
2696505,1,8,increase in heart rate and cardiac output,491,41,Disease,D016534,
2696505,1,9,hypertension,542,12,Disease,D006973,
2696505,1,10,nitroprusside,611,13,Chemical,D009599,
2696505,1,11,Labetalol,626,9,Chemical,D007741,
2696505,1,12,PO2,707,3,Chemical,C093415,
2696505,1,13,labetalol,759,9,Chemical,D007741,
2696505,1,14,nitroprusside,792,13,Chemical,D009599,
2924746,0,0,carbamazepine,8,13,Chemical,D002220,
2924746,0,1,toxicity,54,8,Disease,D064420,
2924746,0,2,folate,96,6,Chemical,D005492,
2924746,1,3,Folate,119,6,Chemical,D005492,
2924746,1,4,Carbamazepine,206,13,Chemical,D002220,
2924746,1,5,CBZ,221,3,Chemical,D002220,
2924746,1,6,CBZ,354,3,Chemical,D002220,
2924746,1,7,folate,371,6,Chemical,D005492,
2924746,1,8,propylene glycol,463,16,Chemical,D019946,
2924746,1,9,seizures,565,8,Disease,D012640,
2924746,1,10,weight gain,588,11,Disease,D015430,
2924746,1,11,Seizures,601,8,Disease,D012640,
2924746,1,12,hexafluorodiethyl ether,621,23,Chemical,D005481,
2924746,1,13,HFDE,646,4,Chemical,D005481,
2924746,1,14,CBZ,716,3,Chemical,D002220,
2924746,1,15,seizures,725,8,Disease,D012640,
2924746,1,16,CBZ,796,3,Chemical,D002220,
2924746,1,17,HFDE,894,4,Chemical,D005481,
2924746,1,18,seizures,907,8,Disease,D012640,
2924746,1,19,weight gain,955,11,Disease,D015430,
2924746,1,20,CBZ,998,3,Chemical,D002220,
2924746,1,21,CBZ,1134,3,Chemical,D002220,
2924746,1,22,folate,1172,6,Chemical,D005492,
2924746,1,23,folate,1223,6,Chemical,D005492,
2951327,1,0,sodium,132,6,Chemical,D012964,
2951327,1,1,norepinephrine,225,14,Chemical,D009638,
2951327,1,2,epinephrine,244,11,Chemical,D004837,
2951327,1,3,tachycardia,588,11,Disease,D013610,
2951327,1,4,norepinephrine,627,14,Chemical,D009638,
2951327,1,5,hypotension,734,11,Disease,D007022,
2951327,1,6,hydralazine,757,11,Chemical,D006830,
2951327,1,7,nitroglycerin,772,13,Chemical,D005996,
2951327,1,8,epinephrine,807,11,Chemical,D004837,
3192036,0,0,Death,0,5,Disease,D003643,
3192036,0,1,gestational trophoblastic disease,27,33,Disease,D031901,
3192036,1,2,choriocarcinoma,175,15,Disease,D002822,
3192036,1,3,Etoposide,399,9,Chemical,D005047,
3192036,1,4,Methotrexate,417,12,Chemical,D008727,
3192036,1,5,Cyclophosphamide,431,16,Chemical,D003520,
3192036,1,6,Actomycin-D,449,11,Chemical,D003609,
3192036,1,7,Cisplatin,466,9,Chemical,D002945,
3192036,1,8,Methotrexate,534,12,Chemical,D008727,
3192036,1,9,Etoposide,548,9,Chemical,D005047,
3192036,1,10,Cyclophosphamide,562,16,Chemical,D003520,
3192036,1,11,pulmonary obstruction,701,21,Disease,D011655,
3192036,1,12,tumor,854,5,Disease,D009369,
3192036,1,13,necrosis,860,8,Disease,D009336,
3192036,1,14,tumor,961,5,Disease,D009369,
3192036,1,15,tumor,1009,5,Disease,D009369,
3192036,1,16,tumor,1107,5,Disease,D009369,
3192036,1,17,embolism,1224,8,Disease,D004617,
3192036,1,18,necrosis,1273,8,Disease,D009336,
3192036,1,19,pelvic tumor,1335,12,Disease,D010386,
3409645,0,0,Sexual dysfunction,0,18,Disease,D012735,
3409645,0,1,arthritis,39,9,Disease,D001168,
3409645,1,2,arthritis,70,9,Disease,D001168,
3409645,1,3,sexual dysfunction,84,18,Disease,D012735,
3409645,1,4,rheumatoid arthritis,144,20,Disease,D001172,
3409645,1,5,osteoarthritis,166,14,Disease,D010003,
3409645,1,6,spondyloarthropathy,185,19,Disease,D025242,
3409645,1,7,depressed mood,286,14,Disease,D003866,
3409645,1,8,Sexual dysfunctions,378,19,Disease,D012735,
3409645,1,9,Impotence,515,9,Disease,D007172,
3409645,1,10,methotrexate,642,12,Chemical,D008727,
3409645,1,11,Depressed mood,656,14,Disease,D003866,
3409645,1,12,impotence,768,9,Disease,D007172,
3409645,1,13,arthritis,853,9,Disease,D001168,
3409645,1,14,sexual dysfunction,887,18,Disease,D012735,
3412544,0,0,paracetamol,5,11,Chemical,D000082,
3412544,0,1,urothelial cancer,23,17,Disease,D014523,
3412544,0,2,renal papillary necrosis,44,24,Disease,D007681,
3412544,1,3,renal papillary necrosis,93,24,Disease,D007681,
3412544,1,4,"cancer of the renal pelvis, ureter or bladder",121,45,Disease,D007680|D014516|D001749,CompositeMention
3412544,1,5,cancer of the renal pelvis,121,26,Disease,D007680,IndividualMention
3412544,1,6,cancer of the ureter,121,13,Disease,D014516,IndividualMention
3412544,1,6,cancer of the ureter,149,6,Disease,D014516,IndividualMention
3412544,1,7,cancer of the bladder,121,13,Disease,D001749,IndividualMention
3412544,1,7,cancer of the bladder,159,7,Disease,D001749,IndividualMention
3412544,1,8,phenacetin,205,10,Chemical,D010615,
3412544,1,9,paracetamol,219,11,Chemical,D000082,
3412544,1,10,renal papillary necrosis,327,24,Disease,D007681,
3412544,1,11,phenacetin,399,10,Chemical,D010615,
3412544,1,12,cancer of the renal pelvis and bladder,445,38,Disease,D007680|D001749,CompositeMention
3412544,1,13,cancer of the renal pelvis,445,26,Disease,D007680,IndividualMention
3412544,1,14,cancer of the bladder,445,13,Disease,D001749,IndividualMention
3412544,1,14,cancer of the bladder,476,7,Disease,D001749,IndividualMention
3412544,1,15,ureteric cancer,496,15,Disease,D014516,
3412544,1,16,paracetamol,580,11,Chemical,D000082,
3412544,1,17,renal papillary necrosis,608,24,Disease,D007681,
3412544,1,18,cancers,649,7,Disease,D009369,
3412544,1,19,cancer of the ureter,712,20,Disease,D014516,
3425586,0,0,Dapsone,0,7,Chemical,D003622,
3425586,0,1,hemolytic anemia,30,16,Disease,D000743,
3425586,1,2,leprosy,144,7,Disease,D007918,
3425586,1,3,hemolytic anemia,175,16,Disease,D000743,
3425586,1,4,dapsone,215,7,Chemical,D003622,
3425586,1,5,hemolysis,272,9,Disease,D006461,
3425586,1,6,glutathione,374,11,Chemical,D005978,
3425586,1,7,GSH,387,3,Chemical,D005978,
3425586,1,8,GSH,407,3,Chemical,D005978,
3425586,1,9,pentose phosphate,426,17,Chemical,D010428,
3425586,1,10,dapsone,466,7,Chemical,D003622,
3425586,1,11,dapsone,580,7,Chemical,D003622,
3425586,1,12,GSH,638,3,Chemical,D005978,
3425586,1,13,GSH,654,3,Chemical,D005978,
3425586,1,14,pentose phosphate,685,17,Chemical,D010428,
3425586,1,15,dapsone,729,7,Chemical,D003622,
3425586,1,16,dapsone,897,7,Chemical,D003622,
3425586,1,17,hemolytic anemia,920,16,Disease,D000743,
3425586,1,18,infection,1116,9,Disease,D007239,
3437726,0,0,metoprolol,98,10,Chemical,D008790,
3437726,0,1,propafenone,110,11,Chemical,D011405,
3437726,0,2,diltiazem,123,9,Chemical,D004110,
3437726,0,3,sparteine,138,9,Chemical,D013034,
3437726,1,4,coronary artery disease,186,23,Disease,D003324,
3437726,1,5,shock,237,5,Disease,D012769,
3437726,1,6,AV block,253,8,Disease,D054537,
3437726,1,7,hypotension,270,11,Disease,D007022,
3437726,1,8,impairment of ventricular function,287,34,Disease,D018754,
3437726,1,9,metoprolol,384,10,Chemical,D008790,
3437726,1,10,diltiazem,480,9,Chemical,D004110,
3437726,1,11,metoprolol,609,10,Chemical,D008790,
3437726,1,12,diltiazem,650,9,Chemical,D004110,
3437726,1,13,metoprolol,822,10,Chemical,D008790,
3437726,1,14,diltiazem,834,9,Chemical,D004110,
3437726,1,15,propafenone,845,11,Chemical,D011405,
3437726,1,16,sparteine,908,9,Chemical,D013034,
3437726,1,17,debrisoquine,938,12,Chemical,D003647,
3437726,1,18,sparteine,951,9,Chemical,D013034,
3437726,1,19,sparteine,1208,9,Chemical,D013034,
3437726,1,20,debrisoquine,1218,12,Chemical,D003647,
3437726,1,21,adverse drug reactions,1328,22,Disease,D064420,
3693336,0,0,Triazolam,0,9,Chemical,D014229,
3693336,0,1,mania,46,5,Disease,D001714,
3693336,0,2,depressed,57,9,Disease,D003866,
3693336,1,3,triazolam,91,9,Chemical,D014229,
3693336,1,4,mania,138,5,Disease,D001714,
3693336,1,5,depressed,149,9,Disease,D003866,
3693336,1,6,organic mental disorder,186,23,Disease,D019965,
3693336,1,7,delirium,211,8,Disease,D003693,
3693336,1,8,Manic,239,5,Disease,D001714,
3693336,1,9,triazolam,302,9,Chemical,D014229,
3693336,1,10,triazolo,346,8,Chemical,D014229,
3780846,0,0,muscular rigidity,57,17,Disease,D009127,
3780846,0,1,morphine,87,8,Chemical,D009020,
3780846,1,2,muscular rigidity,141,17,Disease,D009127,
3780846,1,3,morphine,171,8,Chemical,D009020,
3780846,1,4,morphine,249,8,Chemical,D009020,
3780846,1,5,rigidity,294,8,Disease,D009127,
3780846,1,6,morphine,383,8,Chemical,D009020,
3780846,1,7,rigidity,505,8,Disease,D009127,
3780846,1,8,morphine,537,8,Chemical,D009020,
3780846,1,9,akinetic,608,8,Disease,D018476,
3780846,1,10,rigidity,675,8,Disease,D009127,
3780846,1,11,akinetic,760,8,Disease,D018476,
3780846,1,12,hyperkinetic,772,12,Disease,D006948,
3780846,1,13,rigidity,863,8,Disease,D009127,
3780846,1,14,haloperidol,976,11,Chemical,D006220,
3780846,1,15,rigidity,1116,8,Disease,D009127,
3780846,1,16,Haloperidol,1164,11,Chemical,D006220,
3780846,1,17,rigidity,1189,8,Disease,D009127,
3780846,1,18,rigidity,1326,8,Disease,D009127,
3780846,1,19,morphine,1379,8,Chemical,D009020,
3780846,1,20,rigidity,1584,8,Disease,D009127,
3800626,0,0,Compression neuropathy of the radial nerve,0,42,Disease,D009408|D020425,CompositeMention
3800626,0,1,Compression neuropathy,0,22,Disease,D009408,IndividualMention
3800626,0,2,neuropathy of the radial nerve,12,30,Disease,D020425,IndividualMention
3800626,0,3,pentazocine,50,11,Chemical,D010423,
3800626,0,4,fibrous myopathy,70,16,Disease,D005355|D009135,
3800626,1,5,Fibrous myopathy,88,16,Disease,D005355|D009135,
3800626,1,6,pentazocine,153,11,Chemical,D010423,
3800626,1,7,compression neuropathy,185,22,Disease,D009408,
3800626,1,8,pentazocine,243,11,Chemical,D010423,
3800626,1,9,myopathy,263,8,Disease,D009135,
3800626,1,10,pentazocine,345,11,Chemical,D010423,
3800626,1,11,fibrous myopathy,365,16,Disease,D005355|D009135,
3800626,1,12,fibrous myopathy,620,16,Disease,D005355|D009135,
3827439,0,0,acute renal failure,21,19,Disease,D058186,
3827439,0,1,amphotericin,46,12,Chemical,D000666,
3827439,1,2,cirrhosis,87,9,Disease,D005355,
3827439,1,3,sporotrichosis,114,14,Disease,D013174,
3827439,1,4,acute renal failure,139,19,Disease,D058186,
3827439,1,5,amphotericin B,203,14,Chemical,D000666,
3827439,1,6,renal failure,268,13,Disease,D051437,
3827439,1,7,renal dysfunction,370,17,Disease,D007674,
3827439,1,8,amphotericin,405,12,Chemical,D000666,
3827439,1,9,acute renal failure,536,19,Disease,D058186,
3997294,0,0,pleural and pericardial effusion,17,32,Disease,D010996|D010490,CompositeMention
3997294,0,1,pleural effusion,17,7,Disease,D010996,IndividualMention
3997294,0,1,pleural effusion,41,8,Disease,D010996,IndividualMention
3997294,0,2,pericardial effusion,29,20,Disease,D010490,IndividualMention
3997294,0,3,neuropathy,54,10,Disease,D009422,
3997294,0,4,amiodarone,72,10,Chemical,D000638,
3997294,1,5,sinuatrial disease,107,18,Disease,D002318,
3997294,1,6,amiodarone,167,10,Chemical,D000638,
3997294,1,7,supraventricular tachyarrhythmias,262,33,Disease,D013617,
3997294,1,8,pneumonitis,310,11,Disease,D011014,
3997294,1,9,pleural and pericardial effusions,323,33,Disease,D010996|D010490,CompositeMention
3997294,1,10,pleural effusions,323,7,Disease,D010996,IndividualMention
3997294,1,10,pleural effusions,347,9,Disease,D010996,IndividualMention
3997294,1,11,pericardial effusions,335,21,Disease,D010490,IndividualMention
3997294,1,12,proximal motor neuropathy,378,25,Disease,D009468,
3997294,1,13,amiodarone,462,10,Chemical,D000638,
3997294,1,14,prednisolone,492,12,Chemical,D011239,
3997294,1,15,amiodarone,593,10,Chemical,D000638,
3997294,1,16,pneumonitis,604,11,Disease,D011014,
3997294,1,17,amiodarone,641,10,Chemical,D000638,
3997294,1,18,steroid,678,7,Chemical,D013256,
4071154,0,0,Indomethacin,0,12,Chemical,D007213,
4071154,0,1,renal insufficiency,21,19,Disease,D051437,
4071154,1,2,renal failure,111,13,Disease,D051437,
4071154,1,3,hyperkalemia,130,12,Disease,D006947,
4071154,1,4,cirrhosis,161,9,Disease,D005355,
4071154,1,5,ascites,172,7,Disease,D001201,
4071154,1,6,cor pulmonale,185,13,Disease,D011660,
4071154,1,7,indomethacin,205,12,Chemical,D007213,
4071154,1,8,indomethacin,328,12,Chemical,D007213,
4071154,1,9,oliguria,379,8,Disease,D009846,
4071154,1,10,prostaglandins,444,14,Chemical,D011453,
4071154,1,11,acute renal failure,657,19,Disease,D058186,
6103707,0,0,flunitrazepam,105,13,Chemical,D005445,
6103707,1,1,Flunitrazepam,134,13,Chemical,D005445,
6103707,1,2,Dizziness,638,9,Disease,D004244,
6103707,1,3,pain,718,4,Disease,D010146,
6103707,1,4,flunitrazepam,744,13,Chemical,D005445,
6229975,0,0,timolol,39,7,Chemical,D013999,
6229975,0,1,myocardial infarction,63,21,Disease,D009203,
