document_id,title,abstract_length,has_chemicals,has_diseases,has_relations
10193204,Effects of tetrandrine and fangchinoline on experimental thrombosis in mice and human platelet aggre...,158,Yes,Yes,Yes
10526274,Gemcitabine plus vinorelbine in nonsmall cell lung carcinoma patients age 70 years or older or patie...,384,Yes,Yes,Yes
10669626,Warfarin-induced artery calcification is accelerated by growth and vitamin D.,525,Yes,Yes,Yes
11379838,Antidepressant-induced mania in bipolar patients: identification of risk factors.,319,Yes,Yes,Yes
11419773,Caffeine-induced cardiac arrhythmia: an unrecognised danger of healthfood products.,42,Yes,Yes,Yes
11581460,Bladder retention of urine as a result of continuous intravenous infusion of fentanyl: 2 case report...,96,Yes,Yes,Yes
11706060,Combined antiretroviral therapy causes cardiomyopathy and elevates plasma lactate in transgenic AIDS...,198,Yes,Yes,Yes
11752354,Oral contraceptives and the risk of myocardial infarction.,317,Yes,Yes,Yes
12369736,Effects of 5-HT1B receptor ligands microinjected into the accumbal shell or core on the cocaine-indu...,248,Yes,Yes,Yes
12639165,Ticlopidine-induced cholestatic hepatitis.,235,Yes,Yes,Yes
12653683,Epithelial sodium channel (ENaC) subunit mRNA and protein expression in rats with puromycin aminonuc...,249,Yes,Yes,Yes
14659530,NO-induced migraine attack: strong increase in plasma calcitonin gene-related peptide (CGRP) concent...,256,Yes,Yes,Yes
15804801,Coronary aneurysm after implantation of a paclitaxel-eluting stent.,114,Yes,Yes,Yes
16160878,Behavioral effects of urotensin-II centrally administered in mice.,235,Yes,Yes,Yes
16274958,Recurrent dysphonia and acitretin.,55,Yes,Yes,Yes
16330766,Pharmacological modulation of pain-related brain activity during normal and central sensitization st...,246,Yes,Yes,Yes
16574712,MDMA polydrug users show process-specific central executive impairments coupled with impaired social...,154,Yes,Yes,Yes
17111419,Severe citrate toxicity complicating volunteer apheresis platelet donation.,189,Yes,Yes,Yes
17175308,Proteinuria after conversion to sirolimus in renal transplant recipients.,341,Yes,Yes,Yes
17244258,In vitro characterization of parasympathetic and sympathetic responses in cyclophosphamide-induced c...,256,Yes,Yes,Yes
18020536,"Associations between use of benzodiazepines or related drugs and health, physical abilities and cogn...",368,Yes,Yes,Yes
18023325,Acute vocal fold palsy after acute disulfiram intoxication.,179,Yes,Yes,Yes
18208574,Higher optical density of an antigen assay predicts thrombosis in patients with heparin-induced thro...,257,Yes,Yes,Yes
18343374,Central retinal vein occlusion associated with clomiphene-induced ovulation.,138,Yes,Yes,Yes
18417364,Nicotine-induced nystagmus correlates with midpontine activation.,96,Yes,Yes,Yes
18442015,Protective effect of verapamil on gastric hemorrhagic ulcers in severe atherosclerotic rats.,242,Yes,Yes,Yes
18619688,Adriamycin-induced autophagic cardiomyocyte death plays a pathogenic role in a rat model of heart fa...,222,Yes,Yes,Yes
19308880,"Confusion, a rather serious adverse drug reaction with valproic acid: a review of the French Pharmac...",163,Yes,Yes,Yes
19631624,Learning and memory deficits in ecstasy users and their neural correlates during a face-learning tas...,248,Yes,Yes,Yes
20003049,Prolonged elevation of plasma argatroban in a cardiac transplant patient with a suspected history of...,233,Yes,Yes,Yes
20196116,"Antituberculosis therapy-induced acute liver failure: magnitude, profile, prognosis, and predictors ...",273,Yes,Yes,Yes
20470218,Central nervous system complications during treatment of acute lymphoblastic leukemia in a single pe...,161,Yes,Yes,Yes
20722491,Safety of capecitabine: a review.,180,Yes,Yes,Yes
20882060,Effects of pallidal neurotensin on haloperidol-induced parkinsonian catalepsy: behavioral and electr...,127,Yes,Yes,Yes
26094,Antihypertensive drugs and depression: a reappraisal.,79,Yes,Yes,Yes
322550,Pulmonary shunt and cardiovascular responses to CPAP during nitroprusside-induced hypotension.,202,Yes,Yes,Yes
869641,Mediation of enhanced reflex vagal bradycardia by L-dopa via central dopamine formation in dogs.,174,Yes,Yes,Yes
1749407,Cocaine-induced myocardial infarction: clinical observations and pathogenetic considerations.,183,Yes,Yes,Yes
1786266,"Rabbit syndrome, antidepressant use, and cerebral perfusion SPECT scan findings.",63,Yes,Yes,Yes
1835291,Acute bronchodilating effects of ipratropium bromide and theophylline in chronic obstructive pulmona...,152,Yes,Yes,Yes
1919871,Irreversible damage to the medullary interstitium in experimental analgesic nephropathy in F344 rats...,180,Yes,Yes,Yes
1987816,Less frequent lithium administration and lower urine volume.,131,Yes,Yes,Yes
2054792,Effect of adriamycin combined with whole body hyperthermia on tumor and normal tissues.,141,Yes,Yes,Yes
2304736,Prazosin-induced stress incontinence.,127,Yes,Yes,Yes
2312209,Myocardial infarction following sublingual administration of isosorbide dinitrate.,56,Yes,Yes,Yes
2549018,Fluoxetine-induced akathisia: clinical and theoretical implications.,118,Yes,Yes,Yes
2611118,Chronic active hepatitis associated with diclofenac sodium therapy.,59,Yes,Yes,Yes
2673163,Stroke associated with cocaine use.,152,Yes,Yes,Yes
3107448,Glyburide-induced hepatitis.,91,Yes,Yes,Yes
3341566,Systolic pressure variation is greater during hemorrhage than during sodium nitroprusside-induced hy...,221,Yes,Yes,Yes
3564823,Drug-induced arterial spasm relieved by lidocaine. Case report.,57,Yes,Yes,Yes
3676049,Cerebral blood flow and metabolism during isoflurane-induced hypotension in patients subjected to su...,180,Yes,Yes,Yes
3719553,Allergic reaction to 5-fluorouracil infusion.,70,Yes,Yes,Yes
4008111,Amiodarone-induced sinoatrial block.,42,Yes,Yes,Yes
6133211,Possible teratogenicity of sulphasalazine.,108,Yes,Yes,Yes
6503301,Veno-occlusive liver disease after dacarbazine therapy (DTIC) for melanoma.,71,Yes,Yes,Yes
6727060,A case of tardive dyskinesia caused by metoclopramide.,80,Yes,Yes,Yes
7083920,Further observations on the electrophysiologic effects of oral amiodarone therapy.,82,Yes,Yes,Yes
7269015,Busulfan-induced hemorrhagic cystitis.,66,Yes,Yes,Yes
7352670,Rebound hypertensive after sodium nitroprusside prevented by saralasin in rats.,191,Yes,Yes,Yes
7504976,Toxic hepatitis induced by antithyroid drugs: four cases including one with cross-reactivity between...,176,Yes,Yes,Yes
7628595,Study of the role of vitamin B12 and folinic acid supplementation in preventing hematologic toxicity...,226,Yes,Yes,Yes
7858459,Acute confusion induced by a high-dose infusion of 5-fluorouracil and folinic acid.,152,Yes,Yes,Yes
7862923,Effect of switching carbamazepine to oxcarbazepine on the plasma levels of neuroleptics. A case repo...,87,Yes,Yes,Yes
7919560,Erythema multiforme and hypersensitivity myocarditis caused by ampicillin.,104,Yes,Yes,Yes
8092427,Immediate allergic reactions to amoxicillin.,297,Yes,Yes,Yes
8638206,Persistent paralysis after prolonged use of atracurium in the absence of corticosteroids.,89,Yes,Yes,Yes
8669433,Habitual use of acetaminophen as a risk factor for chronic renal failure: a comparison with phenacet...,222,Yes,Yes,Yes
8690168,Reduction of heparan sulphate-associated anionic sites in the glomerular basement membrane of rats w...,268,Yes,Yes,Yes
8739323,Effect of some anticancer drugs and combined chemotherapy on renal toxicity.,227,Yes,Yes,Yes
8752018,Lithium-associated cognitive and functional deficits reduced by a switch to divalproex sodium: a cas...,138,Yes,Yes,Yes
9390208,Treatment of previously treated metastatic breast cancer by mitoxantrone and 48-hour continuous infu...,251,Yes,Yes,Yes
9406968,Upregulation of the expression of vasopressin gene in the paraventricular and supraoptic nuclei of t...,143,Yes,Yes,Yes
9587734,Suxamethonium-induced cardiac arrest and death following 5 days of immobilization.,128,Yes,Yes,Yes
9698967,An unusual toxic reaction to axillary block by mepivacaine with adrenaline.,128,Yes,Yes,Yes
9855119,Clinical and histopathologic examination of renal allografts treated with tacrolimus (FK506) for at ...,239,Yes,Yes,Yes
9869257,Memory facilitation and stimulation of endogenous nerve growth factor synthesis by the acetylcholine...,196,Yes,Yes,Yes
10342929,Angioedema due to ACE inhibitors: common and inadequately diagnosed.,36,Yes,Yes,Yes
10457883,Recurarization in the recovery room.,62,Yes,Yes,Yes
10739826,Recurrent use of newer oral contraceptives and the risk of venous thromboembolism.,212,Yes,Yes,Yes
10791295,Development of apomorphine-induced aggressive behavior: comparison of adult male and female Wistar r...,104,Yes,Yes,Yes
11147747,Serotonergic antidepressants and urinary incontinence.,144,Yes,Yes,Yes
11198499,Hypotension following the initiation of tizanidine in a patient treated with an angiotensin converti...,123,Yes,Yes,Yes
11391224,Peritubular capillary basement membrane reduplication in allografts and native kidney disease: a cli...,250,Yes,Yes,Yes
11426838,Conformationally restricted analogs of BD1008 and an antisense oligodeoxynucleotide targeting sigma1...,216,Yes,Yes,Yes
11569530,"Pharmacokinetic/pharmacodynamic assessment of the effects of E4031, cisapride, terfenadine and terod...",240,Yes,Yes,Yes
11587867,Fatal myeloencephalopathy due to accidental intrathecal vincristin administration: a report of two c...,126,Yes,Yes,Yes
11679859,Intravenous administration of prochlorperazine by 15-minute infusion versus 2-minute bolus does not ...,331,Yes,Yes,Yes
12041669,Antithymocyte globulin in the treatment of D-penicillamine-induced aplastic anemia.,64,Yes,Yes,Yes
12198388,The relationship between hippocampal acetylcholine release and cholinergic convulsant sensitivity in...,285,Yes,Yes,Yes
12574103,Prenatal dexamethasone programs hypertension and renal injury in the rat.,276,Yes,Yes,Yes
12615818,The risk of venous thromboembolism in women prescribed cyproterone acetate in combination with ethin...,207,Yes,Yes,Yes
12789195,Pseudoacromegaly induced by the long-term use of minoxidil.,103,Yes,Yes,Yes
12820454,Combined androgen blockade-induced anemia in prostate cancer patients without bone involvement.,350,Yes,Yes,Yes
14657095,Reversible dilated cardiomyopathy related to amphotericin B therapy.,51,Yes,Yes,Yes
14765563,Risks of the consumption of beverages containing quinine.,73,Yes,Yes,Yes
15036754,Organophosphate-induced convulsions and prevention of neuropathological damages.,228,Yes,Yes,Yes
15145918,Differential modulation by estrogen of alpha2-adrenergic and I1-imidazoline receptor-mediated hypote...,251,Yes,Yes,Yes
15233872,Cardioprotective effect of tincture of Crataegus on isoproterenol-induced myocardial infarction in r...,140,Yes,Yes,Yes
15458908,Safety and adverse effects associated with raloxifene: multiple outcomes of raloxifene evaluation.,213,Yes,Yes,Yes
15737522,Ceftriaxone-associated biliary pseudolithiasis in paediatric surgical patients.,128,Yes,Yes,Yes
16005948,Evaluation of the anticocaine monoclonal antibody GNC92H2 as an immunotherapy for cocaine overdose.,149,Yes,Yes,Yes
16167916,"The effects of short-term raloxifene therapy on fibrinolysis markers: TAFI, tPA, and PAI-1.",190,Yes,Yes,Yes
16403073,Ketoconazole induced torsades de pointes without concomitant use of QT interval-prolonging drug.,107,Yes,Yes,Yes
16755009,Pharmacological evidence for the potential of Daucus carota in the management of cognitive dysfuncti...,269,Yes,Yes,Yes
16904497,Cauda equina syndrome after epidural steroid injection: a case report.,232,Yes,Yes,Yes
16938416,High-dose testosterone is associated with atherosclerosis in postmenopausal women.,191,Yes,Yes,Yes
17147461,Sirolimus-associated proteinuria and renal dysfunction.,258,Yes,Yes,Yes
17241784,Progressive myopathy with up-regulation of MHC-I associated with statin therapy.,146,Yes,Yes,Yes
17261653,Direct inhibition of cardiac hyperpolarization-activated cyclic nucleotide-gated pacemaker channels ...,238,Yes,Yes,Yes
17343925,Influence of smoking on developing cochlea. Does smoking during pregnancy affect the amplitudes of t...,252,Yes,Yes,Yes
17400887,Neuroinflammation and behavioral abnormalities after neonatal terbutaline treatment in rats: implica...,243,Yes,Yes,Yes
17612891,Acute myocarditis associated with clozapine.,155,Yes,Yes,Yes
18081909,Encephalopathy induced by levetiracetam added to valproate.,93,Yes,Yes,Yes
18083142,Norepinephrine signaling through beta-adrenergic receptors is critical for expression of cocaine-ind...,195,Yes,Yes,Yes
18182964,Clonidine for attention-deficit/hyperactivity disorder: II. ECG changes and adverse events analysis.,212,Yes,Yes,Yes
18217897,Thalidomide has limited single-agent activity in relapsed or refractory indolent non-Hodgkin lymphom...,166,Yes,Yes,Yes
18996674,Intracavernous epinephrine: a minimally invasive treatment for priapism in the emergency department.,68,Yes,Yes,Yes
19058010,Effect of green tea and vitamin E combination in isoproterenol induced myocardial infarction in rats...,187,Yes,Yes,Yes
19581773,Development of ocular myasthenia during pegylated interferon and ribavirin treatment for chronic hep...,126,Yes,Yes,Yes
19759529,The glycine transporter-1 inhibitor SSR103800 displays a selective and specific antipsychotic-like p...,262,Yes,Yes,Yes
19957053,Phenylephrine but not ephedrine reduces frontal lobe oxygenation following anesthesia-induced hypote...,217,Yes,Yes,Yes
20619828,"A novel, multiple symptom model of obsessive-compulsive-like behaviors in animals.",189,Yes,Yes,Yes
891050,Late recovery of renal function in a woman with the hemolytic uremic syndrome.,104,Yes,Yes,Yes
983936,"Effects of acetylsalicylic acid, dipyridamole, and hydrocortisone on epinephrine-induced myocardial ...",220,Yes,Yes,Yes
1428568,Changes in depressive status associated with topical beta-blockers.,123,Yes,Yes,Yes
1720453,Long-term follow-up of ifosfamide renal toxicity in children treated for malignant mesenchymal tumor...,245,Yes,Yes,Yes
1833784,Evidence for an involvement of D1 and D2 dopamine receptors in mediating nicotine-induced hyperactiv...,242,Yes,Yes,Yes
1867351,Neuropsychiatric side effects after the use of mefloquine.,114,Yes,Yes,Yes
2070391,Reduction in injection pain using buffered lidocaine as a local anesthetic before cardiac catheteriz...,139,Yes,Yes,Yes
2266990,"Randomized, double-blind trial of mazindol in Duchenne dystrophy.",195,Yes,Yes,Yes
2348231,Pentoxifylline (Trental) does not inhibit dipyridamole-induced coronary hyperemia: implications for ...,150,Yes,Yes,Yes
2355241,Cause of death among patients with Parkinson's disease: a rare mortality due to cerebral haemorrhage...,127,Yes,Yes,Yes
2445283,Tolerance and antiviral effect of ribavirin in patients with Argentine hemorrhagic fever.,97,Yes,Yes,Yes
2950248,Dipyridamole-induced myocardial ischemia.,76,Yes,Yes,Yes
3015567,Inhibition of immunoreactive corticotropin-releasing factor secretion into the hypophysial-portal ci...,143,Yes,Yes,Yes
3031535,Noradrenergic involvement in catalepsy induced by delta 9-tetrahydrocannabinol.,138,Yes,Yes,Yes
3125768,Intracranial pressure increases during alfentanil-induced rigidity.,136,Yes,Yes,Yes
3187073,Adverse cardiac effects during induction chemotherapy treatment with cis-platin and 5-fluorouracil.,208,Yes,Yes,Yes
3371379,Verapamil-induced carbamazepine neurotoxicity. A report of two cases.,52,Yes,Yes,Yes
3503576,Serial studies of auditory neurotoxicity in patients receiving deferoxamine therapy.,322,Yes,Yes,Yes
3560095,Flurbiprofen in the treatment of juvenile rheumatoid arthritis.,117,Yes,Yes,Yes
3714122,The correlation between neurotoxic esterase inhibition and mipafox-induced neuropathic damage in rat...,199,Yes,Yes,Yes
3828020,Cerebral infarction with a single oral dose of phenylpropanolamine.,62,Yes,Yes,Yes
4812392,Treatment of psoriasis with azathioprine.,70,Yes,Yes,Yes
6518066,Maternal lithium and neonatal Ebstein's anomaly: evaluation with cross-sectional echocardiography.,66,Yes,Yes,Yes
6534871,Effects of training on the extent of experimental myocardial infarction in aging rats.,110,Yes,Yes,Yes
6538499,Effect of polyethylene glycol 400 on adriamycin toxicity in mice.,70,Yes,Yes,Yes
6747681,Intra-arterial BCNU chemotherapy for treatment of malignant gliomas of the central nervous system.,253,Yes,Yes,Yes
6861444,Blood pressure response to chronic low-dose intrarenal noradrenaline infusion in conscious rats.,108,Yes,Yes,Yes
7053303,Age and renal clearance of cimetidine.,152,Yes,Yes,Yes
7088431,Development of clear cell adenocarcinoma in DES-exposed offspring under observation.,104,Yes,Yes,Yes
7248170,Phenobarbitone-induced enlargement of the liver in the rat: its relationship to carbon tetrachloride...,146,Yes,Yes,Yes
7453952,Attenuation of the lithium-induced diabetes-insipidus-like syndrome by amiloride in rats.,190,Yes,Yes,Yes
7802851,Safety and side-effects of alprazolam. Controlled study in agoraphobia with panic disorder.,163,Yes,Yes,Yes
8319760,Dup 753 prevents the development of puromycin aminonucleoside-induced nephrosis.,67,Yes,Yes,Yes
8386779,Sodium bicarbonate alleviates penile pain induced by intracavernous injections for erectile dysfunct...,165,Yes,Yes,Yes
8421099,Prospective study of the long-term effects of somatostatin analog (octreotide) on gallbladder functi...,199,Yes,Yes,Yes
8649546,Improvement of levodopa-induced dyskinesia by propranolol in Parkinson's disease.,69,Yes,Yes,Yes
8919272,Morphological features of encephalopathy after chronic administration of the antiepileptic drug valp...,274,Yes,Yes,Yes
9199746,Macula toxicity after intravitreal amikacin.,82,Yes,Yes,Yes
9249847,Iatrogenically induced intractable atrioventricular reentrant tachycardia after verapamil and cathet...,42,Yes,Yes,Yes
9284778,Epidemic of liver disease caused by hydrochlorofluorocarbons used as ozone-sparing substitutes of ch...,274,Yes,Yes,Yes
9522143,The effect of different anaesthetic agents in hearing loss following spinal anaesthesia.,138,Yes,Yes,Yes
9522152,A transient neurological deficit following intrathecal injection of 1% hyperbaric bupivacaine for un...,154,Yes,Yes,Yes
9672936,Pethidine-associated seizure in a healthy adolescent receiving pethidine for postoperative pain cont...,93,Yes,Yes,Yes
9721172,Drug-associated acute-onset vanishing bile duct and Stevens-Johnson syndromes in a child.,144,Yes,Yes,Yes
9727773,High incidence of primary pulmonary hypertension associated with appetite suppressants in Belgium.,189,Yes,Yes,Yes
9754849,Choreoathetoid movements associated with rapid adjustment to methadone.,59,Yes,Yes,Yes
10365197,Cocaine-induced mood disorder: prevalence rates and psychiatric symptoms in an outpatient cocaine-de...,106,Yes,Yes,Yes
10704919,Hemolysis of human erythrocytes induced by tamoxifen is related to disruption of membrane structure.,347,Yes,Yes,Yes
10706004,"Changes of sodium and ATP affinities of the cardiac (Na,K)-ATPase during and after nitric oxide defi...",233,Yes,Yes,Yes
10721819,Effects of long-term pretreatment with isoproterenol on bromocriptine-induced tachycardia in conscio...,228,Yes,Yes,Yes
10737864,A developmental analysis of clonidine's effects on cardiac rate and ultrasound production in infant ...,149,Yes,Yes,Yes
10743446,Differential effects of systemically administered ketamine and lidocaine on dynamic and static hyper...,178,Yes,Yes,Yes
11007689,Cyclosporine and tacrolimus-associated thrombotic microangiopathy.,220,Yes,Yes,Yes
11256525,Repeated transient anuria following losartan administration in a patient with a solitary kidney.,200,Yes,Yes,Yes
11334364,In vivo protection of dna damage associated apoptotic and necrotic cell deaths during acetaminophen-...,362,Yes,Yes,Yes
11642480,Palpebral twitching in a depressed adolescent on citalopram.,60,Yes,Yes,Yes
12063090,Metamizol potentiates morphine antinociception but not constipation after chronic treatment.,237,Yes,Yes,Yes
12084448,Ifosfamide encephalopathy presenting with asterixis.,156,Yes,Yes,Yes
12684739,Sub-chronic low dose gamma-vinyl GABA (vigabatrin) inhibits cocaine-induced increases in nucleus acc...,155,Yes,Yes,Yes
12716030,Amount of bleeding and hematoma size in the collagenase-induced intracerebral hemorrhage rat model.,149,Yes,Yes,Yes
12757899,Estradiol reduces seizure-induced hippocampal injury in ovariectomized female but not in male rats.,138,Yes,Yes,Yes
12905102,Delirium during clozapine treatment: incidence and associated risk factors.,191,Yes,Yes,Yes
14513889,Ketoconazole-induced neurologic sequelae.,84,Yes,Yes,Yes
15009014,Noxious chemical stimulation of rat facial mucosa increases intracranial blood flow through a trigem...,187,Yes,Yes,Yes
15120741,Recurrent excitation in the dentate gyrus of a murine model of temporal lobe epilepsy.,198,Yes,Yes,Yes
15275829,The alpha3 and beta4 nicotinic acetylcholine receptor subunits are necessary for nicotine-induced se...,204,Yes,Yes,Yes
15602202,Recurrent acute interstitial nephritis induced by azithromycin.,55,Yes,Yes,Yes
16181582,Valproate-induced encephalopathy.,66,Yes,Yes,Yes
16298782,Nitro-L-arginine methyl ester: a potential protector against gentamicin ototoxicity.,143,Yes,Yes,Yes
16428221,Cerebral vasculitis following oral methylphenidate intake in an adult: a case report.,117,Yes,Yes,Yes
16858720,Cerebral haemorrhage induced by warfarin - the influence of drug-drug interactions.,201,Yes,Yes,Yes
17466854,Side effects of postoperative administration of methylprednisolone and gentamicin into the posterior...,179,Yes,Yes,Yes
17562951,Cardiac Angiography in Renally Impaired Patients (CARE) study: a randomized double-blind trial of co...,316,Yes,Yes,Yes
17600377,"A novel compound, maltolyl p-coumarate, attenuates cognitive deficits and shows neuroprotective effe...",169,Yes,Yes,Yes
17639754,Interaction between warfarin and levofloxacin: case series.,107,Yes,Yes,Yes
17854040,Mutations associated with lamivudine-resistance in therapy-na  ve hepatitis B virus (HBV) infected p...,259,Yes,Yes,Yes
18221780,Sex differences in NMDA antagonist enhancement of morphine antihyperalgesia in a capsaicin model of ...,203,Yes,Yes,Yes
18261172,Development of proteinuria after switch to sirolimus-based immunosuppression in long-term cardiac tr...,194,Yes,Yes,Yes
18329269,Synthesis of N-pyrimidinyl-2-phenoxyacetamides as adenosine A2A receptor antagonists.,41,Yes,Yes,Yes
18410508,Methamphetamine-induced neurotoxicity and microglial activation are not mediated by fractalkine rece...,245,Yes,Yes,Yes
18503483,Recovery of tacrolimus-associated brachial neuritis after conversion to everolimus in a pediatric re...,103,Yes,Yes,Yes
18560792,Valvular heart disease in patients with Parkinson's disease treated with pergolide. Course following...,266,Yes,Yes,Yes
18726058,Adverse effects of topical papaverine on auditory nerve function.,271,Yes,Yes,Yes
18754075,Massive proteinuria and acute renal failure after oral bisphosphonate (alendronate) administration i...,112,Yes,Yes,Yes
18768591,Serum- and glucocorticoid-inducible kinase 1 in doxorubicin-induced nephrotic syndrome.,241,Yes,Yes,Yes
19299179,Severe and long lasting cholestasis after high-dose co-trimoxazole treatment for Pneumocystis pneumo...,85,Yes,Yes,Yes
19356053,Clinically significant proteinuria following the administration of sirolimus to renal transplant rec...,256,Yes,Yes,Yes
19729346,Comparative cognitive and subjective side effects of immediate-release oxycodone in healthy middle-a...,241,Yes,Yes,Yes
20080983,Normalizing effects of modafinil on sleep in chronic cocaine users.,260,Yes,Yes,Yes
20520283,Efficacy and safety of asenapine in a placebo- and haloperidol-controlled trial in patients with acu...,279,Yes,Yes,Yes
20588063,"Permeability, ultrastructural changes, and distribution of novel proteins in the glomerular barrier ...",200,Yes,Yes,Yes
19820426,Twin preterm neonates with cardiac toxicity related to lopinavir/ritonavir therapy.,60,Yes,Yes,Yes
1616457,Learning of rats under amnesia caused by pentobarbital.,121,Yes,Yes,Yes
567256,Angiosarcoma of the liver associated with diethylstilbestrol.,47,Yes,Yes,Yes
17439425,Role of xanthine oxidase in dexamethasone-induced hypertension in rats.,180,Yes,Yes,Yes
9351491,Extrapyramidal side effects with risperidone and haloperidol at comparable D2 receptor occupancy lev...,175,Yes,Yes,Yes
18752389,Simvastatin-ezetimibe-induced hepatic failure necessitating liver transplantation.,254,Yes,Yes,Yes
20098969,"Oral manifestations of ""meth mouth"": a case report.",244,Yes,Yes,Yes
9653867,Thyroxine abuse: an unusual case of thyrotoxicosis in pregnancy.,100,Yes,Yes,Yes
17608141,Attenuation of methamphetamine-induced nigrostriatal dopaminergic neurotoxicity in mice by lipopolys...,154,Yes,Yes,Yes
