document_id,annotation_id,mesh_id,text,offset,length
3409645,9,D007172,Impotence,515,9
3409645,11,D003866,Depressed mood,656,14
3409645,12,D007172,impotence,768,9
3409645,13,D001168,arthritis,853,9
3409645,14,D012735,sexual dysfunction,887,18
3412544,1,D014523,urothelial cancer,23,17
3412544,2,D007681,renal papillary necrosis,44,24
3412544,3,D007681,renal papillary necrosis,93,24
3412544,4,D007680|D014516|D001749,"cancer of the renal pelvis, ureter or bladder",121,45
3412544,5,D007680,cancer of the renal pelvis,121,26
3412544,6,D014516,cancer of the ureter,121,13
3412544,7,D001749,cancer of the bladder,121,13
3412544,10,D007681,renal papillary necrosis,327,24
3412544,12,D007680|D001749,cancer of the renal pelvis and bladder,445,38
3412544,13,D007680,cancer of the renal pelvis,445,26
3412544,14,D001749,cancer of the bladder,445,13
3412544,15,D014516,ureteric cancer,496,15
3412544,17,D007681,renal papillary necrosis,608,24
3412544,18,D009369,cancers,649,7
3412544,19,D014516,cancer of the ureter,712,20
3425586,1,D000743,hemolytic anemia,30,16
3425586,2,D007918,leprosy,144,7
3425586,3,D000743,hemolytic anemia,175,16
3425586,5,D006461,hemolysis,272,9
3425586,17,D000743,hemolytic anemia,920,16
3425586,18,D007239,infection,1116,9
3437726,4,D003324,coronary artery disease,186,23
3437726,5,D012769,shock,237,5
3437726,6,D054537,AV block,253,8
3437726,7,D007022,hypotension,270,11
3437726,8,D018754,impairment of ventricular function,287,34
3437726,21,D064420,adverse drug reactions,1328,22
3693336,1,D001714,mania,46,5
3693336,2,D003866,depressed,57,9
3693336,4,D001714,mania,138,5
3693336,5,D003866,depressed,149,9
3693336,6,D019965,organic mental disorder,186,23
3693336,7,D003693,delirium,211,8
3693336,8,D001714,Manic,239,5
3780846,0,D009127,muscular rigidity,57,17
3780846,2,D009127,muscular rigidity,141,17
3780846,5,D009127,rigidity,294,8
3780846,7,D009127,rigidity,505,8
3780846,9,D018476,akinetic,608,8
3780846,10,D009127,rigidity,675,8
3780846,11,D018476,akinetic,760,8
3780846,12,D006948,hyperkinetic,772,12
3780846,13,D009127,rigidity,863,8
3780846,15,D009127,rigidity,1116,8
3780846,17,D009127,rigidity,1189,8
3780846,18,D009127,rigidity,1326,8
3780846,20,D009127,rigidity,1584,8
3800626,0,D009408|D020425,Compression neuropathy of the radial nerve,0,42
3800626,1,D009408,Compression neuropathy,0,22
3800626,2,D020425,neuropathy of the radial nerve,12,30
3800626,4,D005355|D009135,fibrous myopathy,70,16
3800626,5,D005355|D009135,Fibrous myopathy,88,16
3800626,7,D009408,compression neuropathy,185,22
3800626,9,D009135,myopathy,263,8
3800626,11,D005355|D009135,fibrous myopathy,365,16
3800626,12,D005355|D009135,fibrous myopathy,620,16
3827439,0,D058186,acute renal failure,21,19
3827439,2,D005355,cirrhosis,87,9
3827439,3,D013174,sporotrichosis,114,14
3827439,4,D058186,acute renal failure,139,19
3827439,6,D051437,renal failure,268,13
3827439,7,D007674,renal dysfunction,370,17
3827439,9,D058186,acute renal failure,536,19
3997294,0,D010996|D010490,pleural and pericardial effusion,17,32
3997294,1,D010996,pleural effusion,17,7
3997294,2,D010490,pericardial effusion,29,20
3997294,3,D009422,neuropathy,54,10
3997294,5,D002318,sinuatrial disease,107,18
3997294,7,D013617,supraventricular tachyarrhythmias,262,33
3997294,8,D011014,pneumonitis,310,11
3997294,9,D010996|D010490,pleural and pericardial effusions,323,33
3997294,10,D010996,pleural effusions,323,7
3997294,11,D010490,pericardial effusions,335,21
3997294,12,D009468,proximal motor neuropathy,378,25
3997294,16,D011014,pneumonitis,604,11
4071154,1,D051437,renal insufficiency,21,19
4071154,2,D051437,renal failure,111,13
4071154,3,D006947,hyperkalemia,130,12
4071154,4,D005355,cirrhosis,161,9
4071154,5,D001201,ascites,172,7
4071154,6,D011660,cor pulmonale,185,13
4071154,9,D009846,oliguria,379,8
4071154,11,D058186,acute renal failure,657,19
6103707,2,D004244,Dizziness,638,9
6103707,3,D010146,pain,718,4
6229975,1,D009203,myocardial infarction,63,21
6229975,3,D009203,myocardial infarction,148,21
6229975,7,D001919,bradycardia,500,11
6229975,9,D006332,cardiomegaly,694,12
6229975,10,D007238,infarction,772,10
6286738,1,D064420,toxicity,11,8
6286738,4,D006934,hypercalcemia,138,13
6286738,5,D054559,hyperphosphatemia,153,17
6286738,10,D010319,milk fever,519,10
6286738,11,D010319,milk fever,621,10
6286738,13,D064420,toxicity,672,8
6286738,15,D064420,toxicity,802,8
6286738,16,D064420,toxicity,927,8
6286738,19,D010319,milk fever,1044,10
6286738,20,D010319,milk fever,1077,10
6286738,22,D010319,milk fever,1156,10
6287825,0,D010523,Diseases of peripheral nerves,0,29
6287825,1,D010523,peripheral nerve disease,108,24
6287825,2,D010523,Sensori-motor neuropathy,305,24
6287825,3,D020275,Guillain-Barr   syndrome,368,24
6287825,4,D010523,motor neuropathy,477,16
6287825,5,D010523,Peripheral neuropathy,495,21
6287825,6,D044342,nutritional deficiency,524,22
6287825,9,D010523,sensori-motor neuropathy,629,24
6287825,10,D003920,Diabetes mellitus,655,17
6287825,11,D009422,autonomic neuropathy,696,20
6287825,13,D009422,neuropathy,772,10
6287825,14,D008881,Migraine,784,8
6287825,15,D003389,cranial neuropathy,828,18
6287825,16,D009369,malignancies,856,12
6287825,17,D009422,neuropathy,1030,10
6287825,18,D003240,connective tissue disorders,1078,27
6287825,19,D009422,neuropathies,1198,12
6386793,1,D003866,depressive disorder,101,19
6386793,4,D003866,depressed,249,9
6386793,7,D003866,depressive illness,354,18
6386793,8,D014786,blurred vision,495,14
6386793,9,D014987,dry mouth,511,9
6386793,16,D003866,depressed,870,9
6387529,2,D016584,panic disorder,64,14
6387529,3,D000379,agoraphobia,83,11
6387529,6,D016584,panic disorders,329,15
6387529,7,D000379,agoraphobia,349,11
6387529,8,D008569,impaired immediate free recall,442,30
6387529,11,D008569,Delayed free recall was also impaired,533,37
6387529,16,D001523,behavioral impairment,973,21
6692345,6,D001749,bladder carcinomas,300,18
6692345,7,D013274,forestomach tumors,350,18
6692345,17,D063646,carcinogenesis,1013,14
6773726,0,D007022,hypotension,24,11
6773726,2,D003929,diabetic autonomic neuropathy,56,29
6773726,4,D003920,diabetic,195,8
6773726,5,D009422,autonomic neuropathy,221,20
6773726,6,D003920,diabetic,249,8
6773726,7,D009422,autonomic neuropathy,272,20
6773726,9,D003920,diabetic,449,8
6773726,10,D009422,autonomic neuropathy,475,20
6773726,11,D003920,diabetic,603,8
6773726,12,D009422,autonomic neuropathy,626,20
6773726,13,D003920,diabetic,745,8
6773726,14,D009422,autonomic neuropathy,788,20
6888657,1,D010911,adenohypophyseal tumors,37,23
6888657,2,D010911,Pituitary tumors,85,16
6888657,13,D009369,tumor,1608,5
7265370,1,D053040,nephrolithiasis,12,15
7265370,4,D053040,nephrolithiasis,80,15
7265370,6,D006973,hypertension,178,12
7265370,10,D053040,nephrolithiasis,333,15
7423039,1,D066126,cardiotoxicity,36,14
7423039,2,D066126,cardiotoxic,56,11
7444978,0,D020258,neurotoxic,40,10
7444978,3,D004409,Abnormal movements,313,18
7444978,4,D003638,deafness,336,8
7444978,6,D004409,dyskinesias,659,11
7834920,0,D005921,glomerulonephritis,22,18
7834920,2,D014397,pulmonary tuberculosis,91,22
7834920,3,D005921,glomerulonephritis,194,18
7834920,7,D014397,pulmonary tuberculosis,386,22
7834920,8,D051437,renal failure,462,13
7834920,9,D005921,glomerulonephritis,545,18
7834920,10,D005921,glomerulonephritis,709,18
7834920,11,D005921,glomerulonephritis,829,18
7834920,12,D005921,glomerulonephritis,877,18
7881871,1,D007674,nephropathy,71,11
7881871,5,D007674,nephropathy,198,11
7881871,6,D011507,proteinuria,256,11
7881871,7,D011507,proteinuria,340,11
7881871,11,D011507,Proteinuria,857,11
7881871,12,D011507,proteinuric injury,1105,18
7881871,14,D007674,nephropathy,1131,11
7930386,1,D012893,sleep disturbance,21,17
7930386,2,D012893,sleep disturbance,143,17
7930386,6,D012893,sleep disturbance,1292,17
7988234,0,D000799,Angioedema,0,10
7988234,2,D011654,pulmonary edema,129,15
7988234,3,D002637,chest pain,158,10
7988234,4,D003324,coronary artery disease,221,23
7988234,5,D009203,myocardial infarctions,259,22
7988234,6,D006973,hypertension,283,12
7988234,7,D003920,diabetes mellitus,301,17
7988234,8,D000799,angioedema,333,10
7988234,12,D000799,angioedema,647,10
7988234,13,D000799,angioedema,663,10
8073369,2,D001176,arthrogryposis,191,14
8073369,4,D001176,arthrogryposis,293,14
8073369,9,D009140,deformations,645,12
8073369,12,D009140,deformations,820,12
8073369,15,D009140,excessive flexion or extension of one or more toes,882,50
8073369,16,D002543,cranial hemorrhage,1080,18
8073369,23,D001176,arthrogryposis,1607,14
8302922,2,D007022,hypotension,68,11
8302922,7,D007022,hypotension,161,11
8302922,11,D007022,hypotensive,636,11
8302922,14,D007022,hypotension,867,11
8302922,21,D007022,hypotensive,1325,11
8410052,0,D001480,axonal damage,73,13
8410052,1,D001480,axonal injury,285,13
8410052,2,D001480,injury in the cortex,349,20
8410052,4,D002544,Infarcts in substantia nigra pars reticulata,456,44
8410052,6,D013226,status epilepticus,546,18
8410052,7,D001480,axonal damage,904,13
8410052,8,D014947,traumatic,942,9
8423889,0,D009069,Parkinson disability,12,20
8423889,2,D003866,Depression,62,10
8423889,3,D010300,Parkinson's disease,104,19
8423889,4,D009069,motor disability,159,16
8423889,5,D010300,idiopathic Parkinson's disease,198,30
8423889,10,D010300,Parkinson's disease,367,19
8682684,1,D007022,hypotension,22,11
8682684,4,D002318,cardiovascular toxicities,202,25
8682684,6,D000707,anaphylaxis,309,11
8682684,7,D007022,hypotension,332,11
8682684,8,D016638,critically ill,398,14
8682684,9,D007022,hypotension,452,11
8682684,11,D004342,allergic reactions,544,18
8682684,12,D007022,hypotensive,599,11
8682684,14,D007022,hypotension,768,11
9625142,0,D056486,hepatitis,6,9
9625142,1,D000744,autoimmune hemolytic anemia,17,27
9625142,2,-1,erythroblastocytopenia,50,22
9625142,4,D056486,hepatitis,130,9
9625142,8,D000744,autoimmune hemolytic anemia,390,27
9625142,9,-1,erythroblastocytopenia,422,22
9766615,0,D001480,extrapyramidal symptoms,568,23
9766615,1,D001480,EPS,593,3
9766615,2,D004409,tardive dyskinesia,599,18
9766615,3,D007024,orthostatic hypotension,709,23
9766615,4,D012735,sexual dysfunction,781,18
9766615,5,D015430,weight gain,805,11
9766615,6,D001480,EPS,865,3
9766615,7,D015430,weight gain,972,11
9766615,8,D012735,sexual dysfunction,985,18
9766615,9,D012640,seizure,1030,7
9766615,11,D000380,agranulocytosis,1075,15
10193204,2,D013927,thrombosis,57,10
10193204,3,D001791,platelet aggregation,86,20
10193204,11,D013927,thrombosis,323,10
10193204,14,D001791,platelet aggregation,389,20
10193204,15,D001778,blood coagulation,414,17
10193204,18,D013927,thrombosis,548,10
10193204,21,D001791,platelet aggregations,706,21
10526274,2,D002289,nonsmall cell lung carcinoma,32,28
10526274,4,D002289,nonsmall cell lung carcinoma,200,28
10526274,5,D002289,NSCLC,230,5
10526274,6,D064420,toxicity,319,8
10526274,11,D064420,toxicity,539,8
10526274,12,D064420,toxicity,635,8
10526274,15,D002289,NSCLC,712,5
10526274,17,D002289,NSCLC,835,5
10526274,19,D064420,toxicity,1019,8
10526274,22,D064420,Toxicity,1795,8
10526274,23,D009503,neutropenia,1873,11
10526274,24,D013921,thrombocytopenia,1916,16
10526274,25,D020258,neurotoxicity,1966,13
10526274,26,D009503,neutropenia,2008,11
10526274,27,D018805,sepsis,2033,6
10526274,28,D009503,neutropenia,2095,11
10526274,31,D001855,myelosuppression,2365,16
10526274,32,D064420,toxicity,2558,8
10526274,33,D002289,NSCLC,2613,5
10669626,1,D061205,artery calcification,17,20
10669626,4,D061205,artery calcification,168,20
10669626,6,D002114,calcification,288,13
10669626,7,D061205,artery calcification,476,20
10669626,10,D061205,calcification of the artery,580,27
10669626,11,D002114,calcification,658,13
10669626,12,D061205,artery calcification,708,20
10669626,15,D061205,artery calcification,881,20
10669626,17,D061205,calcification of the artery,1144,27
10669626,18,D061205,artery calcification,1223,20
10669626,19,D061205,artery calcification,1345,20
10669626,21,D061205,artery calcification,1507,20
10669626,24,D061205,artery calcification,1675,20
10669626,26,D061205,artery calcification,1853,20
10669626,30,D061205,artery calcification,2019,20
10669626,32,D061205,calcification of the artery,2084,27
10669626,35,D061205,calcification of the artery,2219,27
10669626,37,D002114,calcification,2481,13
10669626,40,D061205,artery calcification,2618,20
10669626,44,D061205,artery calcification,2748,20
10669626,52,D002114,calcification,3055,13
10669626,53,D061205,artery calcification,3136,20
10669626,58,D002114,calcification,3447,13
10669626,59,D002114,calcification,3518,13
11379838,1,D001714,mania,23,5
11379838,2,D001714,bipolar,32,7
11379838,3,D001714,mania,140,5
11379838,5,D001714,bipolar depression,260,18
11379838,6,D001714,bipolar disorder,344,16
11379838,7,D001714,manic,543,5
11379838,8,D001714,hypomanic,552,9
11379838,9,D001714,DSM-IV bipolar I,658,16
11379838,10,D001714,bipolar II,679,10
11379838,11,D001714,manic,711,5
11379838,17,D001714,hypomania,1131,9
11379838,18,D001714,mania,1144,5
11379838,20,D001714,manic,1283,5
11379838,21,D001714,hypomanic,1327,9
11379838,22,D001714,bipolar I,1368,9
11379838,23,D001714,bipolar II,1382,10
11379838,26,D001714,manic,1770,5
11419773,1,D001145,cardiac arrhythmia,17,18
11419773,2,D008945,mitral valve prolapse,134,21
11419773,3,D014693,ventricular fibrillation,182,24
11581460,0,D016055,retention of urine,8,18
11581460,2,D010146,pain,177,4
11581460,5,D009127,chest wall rigidity,531,19
11581460,6,D007022,hypotension,552,11
11581460,7,D012131,respiratory depression,565,22
11581460,8,D001919,bradycardia,593,11
11581460,9,D001745,urinary bladder retention,623,25
11581460,10,D006869,hydronephrosis,701,14
11706060,0,D009202,cardiomyopathy,39,14
11706060,2,D000163,AIDS,96,4
11706060,3,D009202,cardiomyopathy,169,14
11706060,4,D009202,CM,185,2
11706060,7,D000163,AIDS,228,4
11706060,8,D028361,mitochondrial dysfunction,255,25
11706060,9,D000163,AIDS,369,4
11706060,13,D009202,CM,678,2
11706060,17,D009202,CM,1490,2
11706060,19,D000163,AIDS,1513,4
11752354,1,D009203,myocardial infarction,36,21
11752354,3,D009203,myocardial infarction,141,21
11752354,10,D009203,myocardial infarction,633,21
11752354,11,D009203,myocardial infarction,717,21
11752354,13,D009203,myocardial infarction,1077,21
11752354,18,D009203,myocardial infarction,1747,21
11752354,22,D009203,myocardial infarction,2056,21
12369736,1,D009069,locomotor hyperactivity,104,23
12369736,2,D009069,locomotor hyperactivity,308,23
12369736,11,D009069,locomotor hyperactivity,946,23
12369736,18,D009069,hyperlocomotion,1444,15
12639165,1,D002779|D056486,cholestatic hepatitis,20,21
12639165,2,D002779,cholestatic,20,11
12639165,3,D056486,hepatitis,32,9
12639165,5,D002779|D056486,cholestatic hepatitis,95,21
12639165,6,D002779,cholestatic,95,11
12639165,7,D056486,hepatitis,107,9
12639165,8,D002779|D056486,cholestatic hepatitis,275,21
12639165,9,D002779,cholestatic,275,11
12639165,10,D056486,hepatitis,287,9
12639165,13,D002779|D056486,Cholestatic hepatitis,570,21
12639165,14,D002779,Cholestatic,570,11
12639165,15,D056486,hepatitis,582,9
12639165,17,D007565,jaundice,745,8
12639165,19,D002779|D056486,cholestatic hepatitis,849,21
12639165,20,D002779,cholestatic,849,11
12639165,21,D056486,hepatitis,861,9
12639165,22,D056486,Hepatitis,922,9
12639165,25,D002779,cholestasis,1237,11
12639165,26,D056486,hepatotoxicity,1310,14
12639165,27,D002779|D056486,Cholestatic hepatitis,1399,21
12639165,28,D002779,Cholestatic,1399,11
12639165,29,D056486,hepatitis,1411,9
12653683,2,D009404,nephrotic syndrome,116,18
12653683,3,D009404,nephrotic syndrome,152,18
12653683,9,D009404,nephrotic syndrome,549,18
12653683,12,D011507,proteinuria,652,11
12653683,15,D011507,proteinuria,1011,11
12653683,24,D009404,nephrotic syndrome,1735,18
14659530,1,D008881,migraine,11,8
14659530,10,D006261,headache,368,8
14659530,11,D008881,migraine,401,8
14659530,13,D020326,migraineurs (without aura),459,26
14659530,16,D008881,migraine,743,8
14659530,17,D008881,migraine,825,8
14659530,19,D008881,migraine,959,8
14659530,20,D008881,migraine,1027,8
14659530,21,D008881,migraine,1118,8
14659530,22,D006261,headache,1127,8
14659530,24,D006261,headache,1227,8
14659530,25,D008881,migraine,1264,8
14659530,28,D008881,migraine,1406,8
14659530,31,D008881,migraine,1523,8
14659530,32,D008881,migraine,1594,8
14659530,34,D008881,migraine,1711,8
14659530,35,D006261,headache,1720,8
14659530,37,D008881,migraine,1777,8
14659530,39,D008881,migraine,1850,8
14659530,40,D006261,headache,1887,8
15804801,0,D003323,Coronary aneurysm,0,17
15804801,2,D003323,coronary aneurysm,81,17
15804801,3,D000783,aneurysm,290,8
15804801,4,D013927,thrombosis,341,10
15804801,5,-1,vessel rupture,355,14
15804801,6,D003323,coronary aneurysm,416,17
15804801,8,D000783,aneurysm,553,8
15804801,9,D000783,aneurysm,734,8
16160878,4,D006973,hypertension,209,12
16160878,5,D001919,bradycardia,226,11
16160878,12,D010409,penile erection,1349,15
16160878,16,D001523,psychiatric disorders,1670,21
16274958,0,D055154,dysphonia,10,9
16274958,2,D055154,dysphonia,80,9
16274958,6,D055154,dysphonia,289,9
16330766,0,D010146,pain,30,4
16330766,1,D010146,pain,259,4
16330766,2,D017695,tissue injury,300,13
16330766,3,D006930,secondary hyperalgesia,315,22
16330766,4,D006930,Secondary hyperalgesia,340,22
16330766,5,D006930,neurogenic hyperalgesia,400,23
16330766,6,D009437,neuropathic pain,441,16
16330766,7,D006930,hyperalgesia,542,12
16330766,9,D009437,neuropathic pain,711,16
16330766,12,D006930,secondary hyperalgesia,1052,22
16574712,1,D003072,impaired social and emotional judgement processes,85,49
16574712,2,D008569,memory deficits,160,15
17111419,1,D064420,toxicity,15,8
17111419,3,D064420,toxicity,111,8
17111419,4,D006973,hypertension,287,12
17111419,5,D006949,hyperlipidemia,301,14
17111419,6,D003866,depression,321,10
17111419,10,D013746,tetany,587,6
17111419,12,C536214,muscle contractions,669,19
17111419,15,D006996,hypocalcemia,878,12
17111419,18,D006996,hypocalcemia,1007,12
17111419,19,D006996,hypocalcemia,1114,12
17111419,21,D064420,toxicity,1190,8
17175308,0,D011507,Proteinuria,0,11
17175308,4,D011507,proteinuria,147,11
17175308,6,D011507,proteinuria,371,11
17175308,9,D051436,chronic allograft nephropathy,494,29
17175308,10,D007674,CAN,525,3
17175308,11,D009369,neoplasia,539,9
17175308,12,D012514,Kaposi's sarcoma,558,16
17175308,13,D012878,skin cancers,581,12
17175308,14,D007414,intestinal tumors,599,17
17175308,15,D002292,renal cell carsinom,622,19
17175308,16,D007674,nephropathy,655,11
17175308,19,D011507,Proteinuria,819,11
17175308,20,D011507,proteinuria,981,11
17175308,21,D011507,proteinuria,1030,11
17175308,22,D011507,proteinuria,1062,11
17175308,23,D011507,proteinuria,1224,11
17175308,24,D009404,nephrotic,1243,9
17175308,25,D015433,membranoproliferative glomerulopathy,1335,36
17175308,26,D009395,interstitial nephritis,1376,22
17175308,29,D007674,CAN,1685,3
17175308,30,D012514,Kaposi's sarcoma,1693,16
17175308,32,D011507,proteinuria,1957,11
17175308,34,D007674,CAN,2134,3
17175308,35,D011507,proteinuria,2142,11
17244258,1,D003556,cystitis,99,8
17244258,3,D003556,cystitis,148,8
17244258,4,D003556,cystitis,323,8
17244258,24,D003556,cystitis,1969,8
18020536,9,D003704,dementia,1568,8
18020536,12,D004244,dizziness,1760,9
18020536,13,D007319,inability to sleep,1771,18
18020536,14,D005221,tiredness,1817,9
18020536,15,D003866,depressive symptoms,1896,19
18023325,0,D014826,vocal fold palsy,6,16
18023325,2,D010523,peripheral neuropathy,66,21
18023325,4,D062787,overdose,111,8
18023325,5,D014826,vocal fold palsy,173,16
18023325,6,D011782,quadriparesis,256,13
18023325,7,D010146,pain,283,4
18023325,8,C580162,sensory loss,289,12
18023325,9,D010292,paresthesia,307,11
18023325,12,D001259,ataxia,621,6
18023325,13,D004244,giddiness,632,9
18023325,14,D006685,hoarseness,655,10
18023325,15,D011115,polyneuropathy,834,14
18023325,16,D010243,palsy,1126,5
18023325,17,D011115,polyneuropathy,1215,14
18208574,0,D013927,thrombosis,52,10
18208574,2,D013921,thrombocytopenia,96,16
18208574,4,D013921,thrombocytopenia,208,16
18208574,5,D013921,HIT,226,3
18208574,6,D013927,thrombosis,250,10
18208574,8,D013921,thrombocytopenia,430,16
18208574,11,D013921,HIT,664,3
18208574,12,D013927,thrombosis,681,10
18208574,13,D013921,HIT,725,3
18208574,14,D013927,thrombosis,737,10
18208574,15,D013921,HIT,771,3
18208574,16,D013927,thrombosis,794,10
18208574,17,D013927,thrombosis,860,10
18208574,18,D013921,HIT,945,3
18208574,19,D013927,thrombosis,963,10
18208574,20,D013921,HIT,998,3
18208574,21,D013927,thrombosis,1061,10
18208574,22,D013921,HIT,1116,3
18208574,23,D013927,thrombosis,1149,10
18208574,24,D013921,HIT,1219,3
18208574,25,D013927,thrombosis,1252,10
18208574,26,D013921,HIT,1386,3
18208574,27,D013927,thrombosis,1444,10
18208574,28,D013927,thrombosis,1598,10
18208574,29,D013927,thrombotic,1632,10
18208574,30,D013927,thrombosis,1754,10
18208574,31,D013921,HIT,1791,3
18343374,0,D012170,retinal vein occlusion,8,22
18343374,2,D012170,retinal vein occlusion,116,22
18343374,5,D007247,infertility,305,11
